,slide_id,train,val,test
3199,PATH000007946,False,False,True
3200,PATH000009840,False,False,True
3201,PATH000004955,False,False,True
3202,PATH000005579,False,False,True
3203,PATH000006737,False,False,True
3204,PATH000004766,False,False,True
3205,PATH000003910,False,False,True
3206,PATH000006847,False,False,True
3207,PATH000009232,False,False,True
3208,PATH000003055,False,False,True
3209,PATH000008229,False,False,True
3210,PATH000006643,False,False,True
3211,PATH000005631,False,False,True
3212,PATH000007147,False,False,True
3213,PATH000001918,False,False,True
3214,PATH000004878,False,False,True
3215,PATH000007933,False,False,True
3216,PATH000007115,False,False,True
3217,PATH000004095,False,False,True
3218,PATH000005492,False,False,True
3219,PATH000008332,False,False,True
3220,PATH000009089,False,False,True
3221,PATH000007112,False,False,True
3222,PATH000004168,False,False,True
3223,PATH000003714,False,False,True
3224,PATH000005608,False,False,True
3225,PATH000005943,False,False,True
3226,PATH000007796,False,False,True
3227,PATH000007096,False,False,True
3228,PATH000002637,False,False,True
3229,PATH000002006,False,False,True
3230,PATH000009046,False,False,True
3231,PATH000003679,False,False,True
3232,PATH000008173,False,False,True
3233,PATH000008439,False,False,True
3234,PATH000004974,False,False,True
3235,PATH000004121,False,False,True
3236,PATH000008751,False,False,True
3237,PATH000006415,False,False,True
3238,PATH000007386,False,False,True
3239,PATH000009445,False,False,True
3240,PATH000009191,False,False,True
3241,PATH000006068,False,False,True
3242,PATH000003402,False,False,True
3243,PATH000009512,False,False,True
3244,PATH000001785,False,False,True
3245,PATH000006445,False,False,True
3246,PATH000009169,False,False,True
3247,PATH000009108,False,False,True
3248,PATH000006212,False,False,True
3249,PATH000001458,False,False,True
3250,PATH000002998,False,False,True
3251,PATH000004636,False,False,True
3252,PATH000002729,False,False,True
3253,PATH000009156,False,False,True
3254,PATH000009846,False,False,True
3255,PATH000004212,False,False,True
3256,PATH000006830,False,False,True
3257,PATH000008493,False,False,True
3258,PATH000008149,False,False,True
3259,PATH000004396,False,False,True
3260,PATH000003434,False,False,True
3261,PATH000006326,False,False,True
3262,PATH000003642,False,False,True
3263,PATH000002857,False,False,True
3264,PATH000006829,False,False,True
3265,PATH000006210,False,False,True
3266,PATH000009623,False,False,True
3267,PATH000001792,False,False,True
3268,PATH000004639,False,False,True
3269,PATH000009937,False,False,True
3270,PATH000009699,False,False,True
3271,PATH000008874,False,False,True
3272,PATH000001772,False,False,True
3273,PATH000001522,False,False,True
3274,PATH000006626,False,False,True
3275,PATH000008612,False,False,True
3276,PATH000009221,False,False,True
3277,PATH000006926,False,False,True
3278,PATH000001908,False,False,True
3279,PATH000004796,False,False,True
3280,PATH000001574,False,False,True
3281,PATH000005175,False,False,True
3282,PATH000005890,False,False,True
3283,PATH000007802,False,False,True
3284,PATH000001459,False,False,True
3285,PATH000005164,False,False,True
3286,PATH000006625,False,False,True
3287,PATH000006940,False,False,True
3288,PATH000001978,False,False,True
3289,PATH000005091,False,False,True
3290,PATH000009987,False,False,True
3291,PATH000008672,False,False,True
3292,PATH000007187,False,False,True
3293,PATH000009249,False,False,True
3294,PATH000002784,False,False,True
3295,PATH000007980,False,False,True
3296,PATH000001931,False,False,True
3297,PATH000003137,False,False,True
3298,PATH000001821,False,False,True
3299,PATH000006168,False,False,True
3300,PATH000001748,False,False,True
3301,PATH000009908,False,False,True
3302,PATH000002814,False,False,True
3303,PATH000004505,False,False,True
3304,PATH000006492,False,False,True
3305,PATH000009136,False,False,True
3306,PATH000006092,False,False,True
3307,PATH000003334,False,False,True
3308,PATH000006579,False,False,True
3309,PATH000006662,False,False,True
3310,PATH000003805,False,False,True
3311,PATH000003502,False,False,True
3312,PATH000008959,False,False,True
3313,PATH000005449,False,False,True
3314,PATH000003589,False,False,True
3315,PATH000004117,False,False,True
3316,PATH000004435,False,False,True
3317,PATH000001440,False,False,True
3318,PATH000001524,False,False,True
3319,PATH000009294,False,False,True
3320,PATH000008161,False,False,True
3321,PATH000005791,False,False,True
3322,PATH000008481,False,False,True
3323,PATH000006146,False,False,True
3324,PATH000009287,False,False,True
3325,PATH000008017,False,False,True
3326,PATH000003455,False,False,True
3327,PATH000003528,False,False,True
3328,PATH000003611,False,False,True
3329,PATH000009305,False,False,True
3330,PATH000007829,False,False,True
3331,PATH000003133,False,False,True
3332,PATH000008315,False,False,True
3333,PATH000006427,False,False,True
3334,PATH000002995,False,False,True
3335,PATH000003428,False,False,True
3336,PATH000007471,False,False,True
3337,PATH000009263,False,False,True
3338,PATH000009414,False,False,True
3339,PATH000005119,False,False,True
3340,PATH000007079,False,False,True
3341,PATH000005964,False,False,True
3342,PATH000005395,False,False,True
3343,PATH000001659,False,False,True
3344,PATH000001648,False,False,True
3345,PATH000003782,False,False,True
3346,PATH000001775,False,False,True
3347,PATH000009181,False,False,True
3348,PATH000009778,False,False,True
3349,PATH000002763,False,False,True
3350,PATH000005224,False,False,True
3351,PATH000005932,False,False,True
3352,PATH000004226,False,False,True
3353,PATH000008985,False,False,True
3354,PATH000003825,False,False,True
3355,PATH000006863,False,False,True
3356,PATH000006111,False,False,True
3357,PATH000003215,False,False,True
3358,PATH000008989,False,False,True
3359,PATH000003274,False,False,True
3360,PATH000006660,False,False,True
3361,PATH000005733,False,False,True
3362,PATH000003373,False,False,True
3363,PATH000005798,False,False,True
3364,PATH000001937,False,False,True
3365,PATH000001984,False,False,True
3366,PATH000003371,False,False,True
3367,PATH000004211,False,False,True
3368,PATH000002676,False,False,True
3369,PATH000009986,False,False,True
3370,PATH000004988,False,False,True
3371,PATH000009301,False,False,True
3372,PATH000001606,False,False,True
3373,PATH000003063,False,False,True
3374,PATH000001867,False,False,True
3375,PATH000006232,False,False,True
3376,PATH000006033,False,False,True
3377,PATH000009172,False,False,True
3378,PATH000006131,False,False,True
3379,PATH000009763,False,False,True
3380,PATH000001719,False,False,True
3381,PATH000008040,False,False,True
3382,PATH000007287,False,False,True
3383,PATH000008326,False,False,True
3384,PATH000002629,False,False,True
3385,PATH000006819,False,False,True
3386,PATH000003079,False,False,True
3387,PATH000008104,False,False,True
3388,PATH000003545,False,False,True
3389,PATH000006044,False,False,True
3390,PATH000008898,False,False,True
3391,PATH000008825,False,False,True
3392,PATH000001499,False,False,True
2180,PATH000006626,False,False,True
2181,PATH000001524,False,False,True
2182,PATH000005743,False,False,True
2183,PATH000003460,False,False,True
2184,PATH000005956,False,False,True
2185,PATH000003468,False,False,True
2186,PATH000008478,False,False,True
2187,PATH000005335,False,False,True
2188,PATH000009476,False,False,True
2189,PATH000005430,False,False,True
2190,PATH000009073,False,False,True
2191,PATH000008383,False,False,True
2192,PATH000003719,False,False,True
2193,PATH000006821,False,False,True
2194,PATH000009230,False,False,True
2195,PATH000003282,False,False,True
2196,PATH000009326,False,False,True
2197,PATH000006940,False,False,True
2198,PATH000001971,False,False,True
2199,PATH000009305,False,False,True
2200,PATH000002961,False,False,True
2201,PATH000005013,False,False,True
2202,PATH000008912,False,False,True
2203,PATH000009027,False,False,True
2204,PATH000005785,False,False,True
2205,PATH000002983,False,False,True
2206,PATH000013651,False,False,True
2207,PATH000003363,False,False,True
2208,PATH000003129,False,False,True
2209,PATH000001588,False,False,True
2210,PATH000003301,False,False,True
2211,PATH000002969,False,False,True
2212,PATH000003288,False,False,True
2213,PATH000001634,False,False,True
2214,PATH000002911,False,False,True
2215,PATH000009207,False,False,True
2216,PATH000009446,False,False,True
2217,PATH000001418,False,False,True
2218,PATH000008976,False,False,True
2219,PATH000009146,False,False,True
2220,PATH000004417,False,False,True
2221,PATH000002880,False,False,True
2222,PATH000003108,False,False,True
2223,PATH000003477,False,False,True
2224,PATH000005907,False,False,True
2225,PATH000009933,False,False,True
2226,PATH000006201,False,False,True
2227,PATH000003256,False,False,True
2228,PATH000006766,False,False,True
2229,PATH000004527,False,False,True
2230,PATH000001644,False,False,True
2231,PATH000002696,False,False,True
2232,PATH000002663,False,False,True
