,slide_id,train_x,val_x,test_x,train_y,val_y,test_y
0,PATH000003136,False,True,False,False,True,False
1,PATH000008389,False,True,False,False,True,False
2,PATH000003152,False,True,False,False,False,True
3,PATH000005344,False,True,False,False,True,False
4,PATH000001825,False,True,False,False,True,False
5,PATH000004332,False,True,False,False,True,False
6,PATH000003391,False,True,False,False,True,False
7,PATH000009113,False,True,False,False,False,True
8,PATH000002911,False,True,False,False,False,True
9,PATH000008497,False,True,False,False,True,False
10,PATH000005022,False,True,False,False,False,True
11,PATH000002925,False,True,False,False,True,False
12,PATH000009119,False,True,False,False,True,False
13,PATH000005430,False,True,False,False,False,True
14,PATH000002659,False,True,False,False,True,False
15,PATH000005359,False,True,False,False,True,False
16,PATH000003350,False,True,False,False,False,True
17,PATH000009658,False,True,False,False,False,True
18,PATH000006303,False,True,False,False,True,False
19,PATH000008393,False,True,False,False,True,False
20,PATH000008476,False,True,False,False,False,True
21,PATH000007278,False,True,False,False,False,True
22,PATH000004829,False,True,False,False,True,False
23,PATH000009146,False,True,False,False,False,True
24,PATH000008632,False,True,False,False,True,False
25,PATH000003249,False,True,False,False,False,True
26,PATH000009024,False,True,False,False,True,False
27,PATH000006068,False,False,True,False,True,False
28,PATH000009169,False,False,True,False,False,True
29,PATH000004636,False,False,True,False,False,True
30,PATH000001792,False,False,True,False,True,False
31,PATH000006626,False,False,True,False,False,True
32,PATH000008612,False,False,True,False,True,False
33,PATH000001459,False,False,True,False,True,False
34,PATH000006940,False,False,True,False,False,True
35,PATH000005449,False,False,True,False,False,True
36,PATH000001524,False,False,True,False,False,True
37,PATH000003528,False,False,True,False,True,False
38,PATH000009305,False,False,True,False,False,True
39,PATH000007471,False,False,True,False,True,False
40,PATH000009263,False,False,True,False,True,False
41,PATH000001659,False,False,True,False,True,False
42,PATH000005932,False,False,True,False,True,False
43,PATH000009301,False,False,True,False,True,False
44,PATH000006044,False,False,True,False,True,False
