,train,val,test
279,PATH000009745,,
280,PATH000009462,,
282,PATH000009778,,
289,PATH000009604,,
290,PATH000009441,,
312,PATH000009523,,
317,PATH000009835,,
325,PATH000009880,,
334,PATH000009442,,
339,PATH000009506,,
350,PATH000009933,,
354,PATH000009479,,
355,PATH000009900,,
362,PATH000009456,,
363,PATH000009945,,
384,PATH000009881,,
394,PATH000009807,,
404,PATH000009446,,
405,PATH000009572,,
411,PATH000009883,,
414,PATH000009717,,
416,PATH000009871,,
427,PATH000009595,,
435,PATH000009528,,
445,PATH000009518,,
447,PATH000009457,,
448,PATH000009697,,
457,PATH000009940,,
461,PATH000009837,,
465,PATH000009449,,
466,PATH000009779,,
470,PATH000009942,,
477,PATH000009614,,
485,PATH000009482,,
495,PATH000009844,,
505,PATH000009944,,
535,PATH000009503,,
536,PATH000009861,,
580,PATH000009839,,
581,PATH000009987,,
584,PATH000009780,,
594,PATH000009447,,
603,PATH000009381,,
604,PATH000009412,,
608,PATH000009452,,
609,PATH000009714,,
616,PATH000009858,,
617,PATH000009943,,
626,PATH000009857,,
633,PATH000009967,,
634,PATH000009461,,
635,PATH000009980,,
638,PATH000009552,,
639,PATH000009573,,
642,PATH000009432,,
646,PATH000009974,,
668,PATH000009382,,
698,PATH000009636,,
709,PATH000009813,,
714,PATH000009676,,
715,PATH000009932,,
716,PATH000009760,,
722,PATH000009678,,
726,PATH000009976,,
727,PATH000009666,,
728,PATH000009702,,
729,PATH000009971,,
732,PATH000010003,,
736,PATH000009538,,
737,PATH000009657,,
755,PATH000009693,,
757,PATH000009488,,
766,PATH000009654,,
771,PATH000009560,,
785,PATH000009756,,
786,PATH000009800,,
792,PATH000009414,,
808,PATH000009440,,
809,PATH000009502,,
811,PATH000009732,,
838,PATH000009419,,
839,PATH000009775,,
844,PATH000009367,,
845,PATH000009862,,
1233,PATH000004389,,
1234,PATH000004861,,
1235,PATH000004879,,
1257,PATH000009375,,
1258,PATH000009797,,
1326,PATH000009897,,
1335,PATH000004768,,
1433,PATH000004255,,
1592,PATH000004298,,
1717,PATH000004917,,
1724,PATH000004662,,
1746,PATH000004499,,
1749,PATH000004780,,
1759,PATH000004631,,
1801,PATH000004527,,
1809,PATH000004711,,
1827,PATH000004778,,
1828,PATH000004382,,
1829,PATH000004638,,
1834,PATH000004749,,
1837,PATH000004886,,
1838,PATH000004968,,
1848,PATH000004954,,
1853,PATH000004305,,
1881,PATH000004867,,
1887,PATH000004582,,
1890,PATH000004280,,
1899,PATH000004258,,
1911,PATH000004752,,
1917,PATH000004288,,
1921,PATH000004417,,
1946,PATH000004253,,
2019,PATH000004332,,
2053,PATH000004806,,
2077,PATH000009547,,
2117,PATH000010005,,
2121,PATH000009953,,
2183,PATH000009848,,
2185,PATH000009908,,
2192,PATH000009616,,
2193,PATH000009632,,
2209,PATH000009670,,
2210,PATH000009781,,
2211,PATH000009549,,
2212,PATH000009721,,
2224,PATH000009453,,
2236,PATH000004518,,
2237,PATH000004716,,
2251,PATH000004922,,
2279,PATH000004328,,
2287,PATH000010007,,
2289,PATH000009902,,
2295,PATH000009427,,
2297,PATH000009610,,
2301,PATH000009740,,
2303,PATH000009519,,
2307,PATH000009557,,
2319,PATH000009465,,
2321,PATH000009545,,
2323,PATH000009947,,
2336,PATH000009729,,
2337,PATH000009827,,
2356,PATH000009845,,
2358,PATH000009922,,
2366,PATH000009689,,
2367,PATH000009832,,
2382,PATH000004430,,
2388,PATH000009575,,
2389,PATH000009630,,
2391,PATH000010004,,
2394,PATH000009565,,
2395,PATH000009846,,
2425,PATH000009466,,
2426,PATH000009876,,
2448,PATH000009774,,
2449,PATH000009792,,
2452,PATH000009507,,
2453,PATH000009570,,
2454,PATH000009492,,
2455,PATH000009763,,
2458,PATH000000646,,
2459,PATH000000659,,
2461,PATH000000633,,
2462,PATH000000672,,
2464,PATH000000647,,
2465,PATH000000644,,
2466,PATH000000609,,
2467,PATH000000620,,
2468,PATH000000649,,
2469,PATH000000671,,
2470,PATH000000605,,
2471,PATH000000653,,
2472,PATH000000674,,
2473,PATH000012102,,
2474,PATH000012301,,
2475,PATH000012366,,
2476,PATH000000664,,
2477,PATH000000635,,
2478,PATH000000607,,
2479,PATH000000610,,
2484,PATH000000611,,
2485,PATH000000657,,
2486,PATH000000677,,
2487,PATH000000641,,
2488,PATH000000621,,
2489,PATH000000632,,
2490,PATH000000669,,
2491,PATH000000619,,
2492,PATH000000625,,
2493,PATH000000645,,
2495,PATH000000618,,
2496,PATH000000668,,
2498,PATH000000615,,
2499,PATH000000630,,
2500,PATH000000648,,
2502,PATH000000686,,
2503,PATH000000606,,
2504,PATH000000628,,
2505,PATH000000652,,
2506,PATH000000680,,
2507,PATH000000640,,
2508,PATH000000675,,
2510,PATH000000614,,
2511,PATH000000643,,
2513,PATH000000662,,
2514,PATH000000683,,
2515,PATH000002608,,
2516,PATH000002999,,
2517,PATH000003080,,
2518,PATH000000637,,
2519,PATH000000661,,
2520,PATH000000651,,
2522,PATH000000604,,
2523,PATH000000676,,
2529,PATH000000775,,
2531,PATH000000772,,
2532,PATH000000703,,
2533,PATH000002689,,
2534,PATH000000691,,
2537,PATH000000767,,
2538,PATH000000770,,
2539,PATH000000702,,
2541,PATH000000762,,
2542,PATH000000725,,
2543,PATH000000760,,
2544,PATH000000773,,
2545,PATH000000688,,
2546,PATH000000766,,
2547,PATH000007570,,
2551,PATH000000705,,
2552,PATH000000710,,
2553,PATH000000723,,
2554,PATH000000724,,
2555,PATH000000728,,
2556,PATH000000712,,
2557,PATH000000716,,
2558,PATH000000721,,
2559,PATH000000735,,
2563,PATH000000701,,
2564,PATH000000704,,
