,train,val,test
14479,PATH000006334,,
9753,PATH000008135,,
4238,PATH000009033,,
13613,PATH000002580,,
716,PATH000009760,,
5393,PATH000009348,,
4155,PATH000009220,,
5169,PATH000002694,,
15563,PATH000008357,,
6172,PATH000005731,,
13115,PATH000002784,,
11151,PATH000007976,,
8344,PATH000001981,,
13037,PATH000006032,,
4860,PATH000009243,,
6929,PATH000001970,,
3472,PATH000001719,,
12782,PATH000003838,,
9739,PATH000008240,,
12221,PATH000003596,,
5148,PATH000002673,,
14377,PATH000006336,,
13387,PATH000006049,,
4129,PATH000004212,,
11687,PATH000005394,,
334,PATH000009442,,
6501,PATH000001473,,
14387,PATH000006329,,
14153,PATH000006668,,
6645,PATH000005113,,
14577,PATH000006744,,
11534,PATH000008842,,
13210,PATH000003599,,
4117,PATH000009028,,
5705,PATH000008650,,
10472,PATH000008403,,
4485,PATH000009214,,
6221,PATH000001939,,
13361,PATH000006098,,
4547,PATH000009018,,
13003,PATH000003365,,
5516,PATH000009662,,
4484,PATH000009013,,
414,PATH000009717,,
15475,PATH000008873,,
13382,PATH000005955,,
4122,PATH000004223,,
4093,PATH000004213,,
8372,PATH000005462,,
5723,PATH000008682,,
9347,PATH000007086,,
1827,PATH000004778,,
15395,PATH000008113,,
5332,PATH000008582,,
13054,PATH000003642,,
13330,PATH000005967,,
12734,PATH000003554,,
12169,PATH000003317,,
6751,PATH000001886,,
13164,PATH000008355,,
13078,PATH000001790,,
12661,PATH000001800,,
5196,PATH000002983,,
4369,PATH000008987,,
15598,PATH000006156,,
5179,PATH000003129,,
13252,PATH000008180,,
7212,PATH000005798,,
4688,PATH000008888,,
8343,PATH000001508,,
8250,PATH000006918,,
4796,PATH000008897,,
5517,PATH000009983,,
14324,PATH000006556,,
13686,PATH000005795,,
12943,PATH000003282,,
4864,PATH000009219,,
5372,PATH000009294,,
11041,PATH000004770,,
5195,PATH000002886,,
5744,PATH000008750,,
9744,PATH000008054,,
15148,PATH000006791,,
2649,PATH000003894,,
2251,PATH000004922,,
6592,PATH000005534,,
10377,PATH000007310,,
5840,PATH000009766,,
5785,PATH000009712,,
2295,PATH000009427,,
4730,PATH000008912,,
7164,PATH000001864,,
4366,PATH000009224,,
5181,PATH000003157,,
12918,PATH000003499,,
13113,PATH000001475,,
5105,PATH000002582,,
5363,PATH000009364,,
4205,PATH000008976,,
5138,PATH000002736,,
7161,PATH000001910,,
12975,PATH000003724,,
13353,PATH000005941,,
5693,PATH000003165,,
15500,PATH000006151,,
7035,PATH000005255,,
14382,PATH000006357,,
5134,PATH000004728,,
5545,PATH000009416,,
3382,PATH000007763,,
9718,PATH000007521,,
