,train,val,test
279,PATH000009745,,
282,PATH000009778,,
495,PATH000009844,,
580,PATH000009839,,
608,PATH000009452,,
609,PATH000009714,,
626,PATH000009857,,
642,PATH000009432,,
668,PATH000009382,,
722,PATH000009678,,
726,PATH000009976,,
736,PATH000009538,,
785,PATH000009756,,
1433,PATH000004255,,
1717,PATH000004917,,
1749,PATH000004780,,
1827,PATH000004778,,
1828,PATH000004382,,
1837,PATH000004886,,
1838,PATH000004968,,
1907,PATH000004529,,
2303,PATH000009519,,
2307,PATH000009557,,
2309,PATH000009571,,
2310,PATH000009951,,
2321,PATH000009545,,
2336,PATH000009729,,
2425,PATH000009466,,
2426,PATH000009876,,
2468,PATH000000649,,
2469,PATH000000671,,
2499,PATH000000630,,
2500,PATH000000648,,
2503,PATH000000606,,
2504,PATH000000628,,
2505,PATH000000652,,
2506,PATH000000680,,
2519,PATH000000661,,
2570,PATH000000699,,
2597,PATH000013755,,
2641,PATH000007685,,
2642,PATH000007738,,
2645,PATH000012709,,
2649,PATH000003894,,
2700,PATH000000627,,
2705,PATH000002860,,
2744,PATH000003212,,
2753,PATH000006855,,
2754,PATH000007710,,
2755,PATH000008023,,
2765,PATH000007577,,
2766,PATH000007727,,
2839,PATH000002713,,
2938,PATH000007994,,
2942,PATH000011796,,
2948,PATH000006066,,
2969,PATH000008042,,
3015,PATH000000654,,
3023,PATH000001708,,
3026,PATH000003160,,
3053,PATH000003861,,
3059,PATH000000755,,
3060,PATH000000769,,
3074,PATH000003063,,
3097,PATH000002684,,
3133,PATH000002786,,
3149,PATH000002949,,
3160,PATH000007835,,
3216,PATH000000623,,
3217,PATH000000624,,
3424,PATH000011973,,
3541,PATH000002836,,
3561,PATH000001695,,
3589,PATH000007699,,
3605,PATH000003895,,
3635,PATH000001709,,
3706,PATH000001703,,
3753,PATH000002597,,
3783,PATH000000745,,
3823,PATH000003183,,
3835,PATH000003184,,
3850,PATH000000715,,
3858,PATH000008040,,
3891,PATH000001743,,
3915,PATH000000276,,
3946,PATH000000272,,
3950,PATH000000207,,
3956,PATH000000185,,
3957,PATH000000194,,
3958,PATH000000204,,
3963,PATH000000191,,
3965,PATH000009076,,
3973,PATH000000259,,
3989,PATH000000305,,
3990,PATH000000317,,
3994,PATH000000298,,
4011,PATH000000310,,
4013,PATH000000314,,
4014,PATH000006016,,
4015,PATH000006081,,
4024,PATH000000293,,
4025,PATH000000295,,
4027,PATH000000301,,
4045,PATH000000304,,
4048,PATH000000306,,
4049,PATH000000315,,
4050,PATH000000299,,
4055,PATH000000311,,
4057,PATH000000321,,
4058,PATH000000323,,
4068,PATH000000328,,
4076,PATH000000326,,
4106,PATH000004211,,
4107,PATH000004222,,
4128,PATH000004207,,
4137,PATH000004210,,
4141,PATH000009068,,
4142,PATH000009270,,
4158,PATH000009158,,
4178,PATH000004232,,
4183,PATH000004238,,
4189,PATH000000342,,
4190,PATH000000347,,
4200,PATH000004235,,
4201,PATH000004242,,
4202,PATH000005986,,
4214,PATH000004239,,
4238,PATH000009033,,
4240,PATH000009179,,
4244,PATH000009108,,
4305,PATH000004226,,
4313,PATH000004234,,
4357,PATH000004230,,
4374,PATH000008972,,
4390,PATH000009227,,
4394,PATH000000354,,
4420,PATH000000335,,
4425,PATH000000345,,
4435,PATH000000336,,
4457,PATH000000334,,
4476,PATH000000341,,
4477,PATH000000353,,
4487,PATH000009148,,
4488,PATH000000372,,
4530,PATH000009180,,
4533,PATH000000534,,
4556,PATH000000357,,
4557,PATH000000358,,
4558,PATH000008975,,
4566,PATH000000359,,
4567,PATH000000365,,
4568,PATH000000361,,
4569,PATH000000376,,
4571,PATH000009253,,
4609,PATH000009145,,
4610,PATH000009151,,
4615,PATH000009187,,
4634,PATH000008964,,
4643,PATH000009169,,
4649,PATH000000371,,
4676,PATH000009161,,
4684,PATH000000362,,
4685,PATH000000364,,
4690,PATH000009072,,
4737,PATH000008925,,
4753,PATH000000540,,
4771,PATH000000391,,
4772,PATH000000404,,
4804,PATH000000392,,
4805,PATH000000401,,
4821,PATH000000377,,
4822,PATH000000406,,
4825,PATH000000403,,
4843,PATH000000542,,
4844,PATH000000546,,
4850,PATH000009116,,
4863,PATH000009196,,
4864,PATH000009219,,
4893,PATH000009182,,
4916,PATH000000379,,
4917,PATH000000402,,
4928,PATH000000388,,
4941,PATH000000398,,
4942,PATH000000409,,
4976,PATH000008907,,
