,train,val,test
9374,PATH000007433,,
4117,PATH000009028,,
15587,PATH000008651,,
12733,PATH000003430,,
12410,PATH000001592,,
8922,PATH000005135,,
10370,PATH000007638,,
10807,PATH000004726,,
13223,PATH000003443,,
11405,PATH000005127,,
10014,PATH000004639,,
14144,PATH000006339,,
3635,PATH000001709,,
4609,PATH000009145,,
12675,PATH000001817,,
10694,PATH000004202,,
13945,PATH000006131,,
13297,PATH000006024,,
15148,PATH000006791,,
13095,PATH000001472,,
13760,PATH000005811,,
10043,PATH000005870,,
13073,PATH000003792,,
13086,PATH000003767,,
5840,PATH000009766,,
3541,PATH000002836,,
5729,PATH000008661,,
12348,PATH000001585,,
5298,PATH000008601,,
10306,PATH000005038,,
11616,PATH000004744,,
722,PATH000009678,,
6523,PATH000006957,,
4615,PATH000009187,,
14622,PATH000006303,,
12502,PATH000001427,,
13018,PATH000006068,,
5088,PATH000003012,,
1749,PATH000004780,,
10458,PATH000007956,,
9022,PATH000008811,,
12204,PATH000003254,,
12395,PATH000001583,,
12341,PATH000001771,,
1838,PATH000004968,,
12674,PATH000001791,,
2053,PATH000004806,,
12431,PATH000001428,,
642,PATH000009432,,
12205,PATH000003322,,
11079,PATH000004648,,
12312,PATH000001629,,
13341,PATH000003734,,
12783,PATH000003842,,
6687,PATH000001940,,
4305,PATH000004226,,
13742,PATH000005613,,
5072,PATH000003246,,
7102,PATH000001424,,
9615,PATH000004142,,
5314,PATH000008604,,
9347,PATH000007086,,
12168,PATH000003252,,
3026,PATH000003160,,
12784,PATH000005963,,
5363,PATH000009364,,
13716,PATH000005887,,
14685,PATH000006708,,
11121,PATH000005835,,
12731,PATH000003346,,
7914,PATH000005532,,
4199,PATH000009065,,
6355,PATH000001825,,
4141,PATH000009068,,
5277,PATH000008845,,
10078,PATH000007438,,
725,PATH000009798,,
5239,PATH000008717,,
10149,PATH000009512,,
10952,PATH000009925,,
5045,PATH000002996,,
11050,PATH000004684,,
10012,PATH000005536,,
13401,PATH000008389,,
5287,PATH000008727,,
10284,PATH000005730,,
9719,PATH000007553,,
5312,PATH000008632,,
13104,PATH000001493,,
5079,PATH000002919,,
9352,PATH000007495,,
3767,PATH000007881,,
2310,PATH000009951,,
9626,PATH000004003,,
608,PATH000009452,,
12559,PATH000003833,,
9633,PATH000004071,,
5776,PATH000009954,,
13749,PATH000005530,,
4158,PATH000009158,,
12730,PATH000003310,,
4106,PATH000004211,,
13079,PATH000001810,,
9739,PATH000008240,,
10057,PATH000005995,,
609,PATH000009714,,
12729,PATH000003269,,
5027,PATH000003191,,
3383,PATH000007849,,
7214,PATH000006891,,
13359,PATH000002723,,
12025,PATH000003387,,
13701,PATH000005688,,
12699,PATH000001607,,
10514,PATH000009982,,
9164,PATH000003958,,
14722,PATH000006514,,
10975,PATH000008747,,
