,train,val,test
5371,PATH000009326,,
10317,PATH000005234,,
12030,PATH000003304,,
10079,PATH000007492,,
12980,PATH000006001,,
13115,PATH000002784,,
12866,PATH000003283,,
8398,PATH000006904,,
14730,PATH000008785,,
11012,PATH000003949,,
12461,PATH000003364,,
386,PATH000009514,,
13745,PATH000005542,,
10507,PATH000008836,,
2368,PATH000009410,,
9316,PATH000005919,,
722,PATH000009678,,
15414,PATH000007227,,
3544,PATH000002946,,
13255,PATH000008363,,
7364,PATH000005814,,
11657,PATH000004938,,
6981,PATH000001530,,
2303,PATH000009519,,
10589,PATH000007844,,
9637,PATH000004104,,
5332,PATH000008582,,
13645,PATH000002685,,
280,PATH000009462,,
9196,PATH000004475,,
14265,PATH000006788,,
7433,PATH000001924,,
3479,PATH000001545,,
13289,PATH000002772,,
5553,PATH000009836,,
6378,PATH000005848,,
427,PATH000009595,,
13728,PATH000005235,,
13410,PATH000008138,,
5291,PATH000008678,,
10183,PATH000007970,,
12171,PATH000003380,,
9680,PATH000005876,,
14863,PATH000006574,,
2426,PATH000009876,,
535,PATH000009503,,
14539,PATH000006231,,
4671,PATH000009178,,
11653,PATH000004970,,
7163,PATH000001897,,
5035,PATH000002930,,
5044,PATH000002905,,
15487,PATH000008418,,
8623,PATH000007044,,
706,PATH000009633,,
13720,PATH000005595,,
9280,PATH000004593,,
7940,PATH000005626,,
13336,PATH000003836,,
5139,PATH000002816,,
6443,PATH000001499,,
15408,PATH000007701,,
12317,PATH000001637,,
11471,PATH000008107,,
8962,PATH000007437,,
14098,PATH000008663,,
2515,PATH000002608,,
5607,PATH000004278,,
809,PATH000009502,,
7929,PATH000005024,,
5312,PATH000008632,,
15367,PATH000008810,,
6360,PATH000001892,,
9615,PATH000004142,,
11241,PATH000004650,,
8593,PATH000006944,,
13294,PATH000003001,,
15302,PATH000007023,,
7179,PATH000006999,,
15586,PATH000008476,,
14789,PATH000007799,,
4579,PATH000008997,,
2755,PATH000008023,,
5790,PATH000009669,,
5315,PATH000008860,,
6509,PATH000001528,,
5174,PATH000003131,,
13120,PATH000001780,,
13166,PATH000008383,,
10713,PATH000007115,,
13652,PATH000005139,,
6647,PATH000005103,,
4662,PATH000008911,,
12700,PATH000001646,,
4629,PATH000008883,,
5584,PATH000004952,,
5344,PATH000009289,,
727,PATH000009666,,
12775,PATH000003025,,
14198,PATH000006800,,
13006,PATH000003354,,
13337,PATH000003699,,
13093,PATH000001606,,
13732,PATH000005045,,
13402,PATH000008268,,
5114,PATH000003055,,
9313,PATH000005354,,
10330,PATH000005686,,
12427,PATH000001461,,
9610,PATH000003818,,
12410,PATH000001592,,
5104,PATH000002951,,
14261,PATH000006326,,
12295,PATH000001421,,
6673,PATH000001929,,
13150,PATH000008182,,
15074,PATH000006609,,
9661,PATH000004488,,
12952,PATH000003264,,
4199,PATH000009065,,
8343,PATH000001508,,
7162,PATH000001828,,
3708,PATH000001755,,
12941,PATH000003306,,
12876,PATH000003571,,
13355,PATH000003764,,
6643,PATH000005502,,
13203,PATH000003470,,
14008,PATH000006241,,
13195,PATH000003550,,
15071,PATH000008380,,
10101,PATH000008075,,
13155,PATH000008202,,
14909,PATH000006698,,
12414,PATH000001589,,
10802,PATH000007096,,
14287,PATH000006633,,
6482,PATH000006909,,
470,PATH000009942,,
9528,PATH000003691,,
6769,PATH000006962,,
4737,PATH000008925,,
633,PATH000009967,,
12675,PATH000001817,,
8557,PATH000005545,,
13149,PATH000005590,,
3707,PATH000001744,,
4675,PATH000008939,,
4207,PATH000008908,,
8247,PATH000005823,,
7932,PATH000005692,,
14853,PATH000006531,,
4808,PATH000009041,,
15585,PATH000007586,,
10742,PATH000004314,,
