,train,val,test
279,PATH000009745,,
280,PATH000009462,,
282,PATH000009778,,
289,PATH000009604,,
290,PATH000009441,,
317,PATH000009835,,
325,PATH000009880,,
334,PATH000009442,,
348,PATH000009605,,
350,PATH000009933,,
362,PATH000009456,,
363,PATH000009945,,
366,PATH000009895,,
369,PATH000009979,,
375,PATH000009869,,
386,PATH000009514,,
394,PATH000009807,,
395,PATH000009927,,
404,PATH000009446,,
405,PATH000009572,,
411,PATH000009883,,
414,PATH000009717,,
416,PATH000009871,,
435,PATH000009528,,
436,PATH000009696,,
447,PATH000009457,,
448,PATH000009697,,
457,PATH000009940,,
461,PATH000009837,,
465,PATH000009449,,
466,PATH000009779,,
470,PATH000009942,,
477,PATH000009614,,
485,PATH000009482,,
494,PATH000009408,,
495,PATH000009844,,
505,PATH000009944,,
529,PATH000009829,,
569,PATH000009463,,
570,PATH000009894,,
580,PATH000009839,,
581,PATH000009987,,
594,PATH000009447,,
603,PATH000009381,,
604,PATH000009412,,
608,PATH000009452,,
609,PATH000009714,,
626,PATH000009857,,
633,PATH000009967,,
638,PATH000009552,,
639,PATH000009573,,
642,PATH000009432,,
646,PATH000009974,,
668,PATH000009382,,
698,PATH000009636,,
706,PATH000009633,,
709,PATH000009813,,
712,PATH000009368,,
713,PATH000009679,,
714,PATH000009676,,
715,PATH000009932,,
721,PATH000009418,,
722,PATH000009678,,
725,PATH000009798,,
726,PATH000009976,,
729,PATH000009971,,
732,PATH000010003,,
735,PATH000009725,,
736,PATH000009538,,
737,PATH000009657,,
746,PATH000009378,,
755,PATH000009693,,
757,PATH000009488,,
766,PATH000009654,,
771,PATH000009560,,
775,PATH000009866,,
776,PATH000009949,,
785,PATH000009756,,
786,PATH000009800,,
792,PATH000009414,,
793,PATH000009646,,
808,PATH000009440,,
809,PATH000009502,,
810,PATH000009673,,
811,PATH000009732,,
838,PATH000009419,,
839,PATH000009775,,
844,PATH000009367,,
845,PATH000009862,,
1157,PATH000009819,,
1233,PATH000004389,,
1234,PATH000004861,,
1235,PATH000004879,,
1257,PATH000009375,,
1258,PATH000009797,,
1300,PATH000009734,,
1319,PATH000009448,,
1325,PATH000009635,,
1326,PATH000009897,,
1335,PATH000004768,,
1433,PATH000004255,,
1717,PATH000004917,,
1724,PATH000004662,,
1746,PATH000004499,,
1749,PATH000004780,,
1759,PATH000004631,,
1769,PATH000004935,,
1801,PATH000004527,,
1809,PATH000004711,,
1826,PATH000004835,,
1827,PATH000004778,,
1828,PATH000004382,,
1829,PATH000004638,,
1834,PATH000004749,,
1837,PATH000004886,,
1838,PATH000004968,,
1848,PATH000004954,,
1853,PATH000004305,,
1881,PATH000004867,,
1887,PATH000004582,,
1890,PATH000004280,,
1891,PATH000004463,,
1899,PATH000004258,,
1907,PATH000004529,,
1917,PATH000004288,,
1920,PATH000004915,,
1921,PATH000004417,,
1946,PATH000004253,,
2019,PATH000004332,,
2077,PATH000009547,,
2121,PATH000009953,,
2122,PATH000010001,,
2183,PATH000009848,,
2192,PATH000009616,,
2193,PATH000009632,,
2195,PATH000009623,,
2196,PATH000009990,,
2201,PATH000009583,,
2202,PATH000009939,,
2211,PATH000009549,,
2212,PATH000009721,,
2224,PATH000009453,,
2236,PATH000004518,,
2237,PATH000004716,,
2251,PATH000004922,,
2279,PATH000004328,,
2287,PATH000010007,,
2295,PATH000009427,,
2297,PATH000009610,,
2307,PATH000009557,,
2308,PATH000009788,,
2309,PATH000009571,,
2310,PATH000009951,,
2319,PATH000009465,,
2320,PATH000009639,,
2321,PATH000009545,,
2322,PATH000009847,,
2323,PATH000009947,,
2336,PATH000009729,,
2337,PATH000009827,,
2356,PATH000009845,,
2358,PATH000009922,,
2366,PATH000009689,,
2367,PATH000009832,,
2382,PATH000004430,,
2392,PATH000009686,,
2394,PATH000009565,,
2395,PATH000009846,,
2404,PATH000009901,,
2424,PATH000009532,,
2425,PATH000009466,,
2426,PATH000009876,,
2444,PATH000009379,,
2448,PATH000009774,,
2449,PATH000009792,,
2452,PATH000009507,,
2453,PATH000009570,,
2454,PATH000009492,,
2455,PATH000009763,,
2458,PATH000000646,,
2459,PATH000000659,,
2460,PATH000000642,,
2461,PATH000000633,,
2462,PATH000000672,,
2464,PATH000000647,,
2465,PATH000000644,,
2466,PATH000000609,,
2467,PATH000000620,,
2468,PATH000000649,,
2469,PATH000000671,,
2470,PATH000000605,,
2471,PATH000000653,,
2472,PATH000000674,,
2473,PATH000012102,,
2474,PATH000012301,,
2475,PATH000012366,,
2477,PATH000000635,,
2478,PATH000000607,,
2479,PATH000000610,,
2484,PATH000000611,,
2485,PATH000000657,,
2486,PATH000000677,,
2487,PATH000000641,,
2488,PATH000000621,,
2489,PATH000000632,,
2490,PATH000000669,,
2491,PATH000000619,,
2492,PATH000000625,,
2493,PATH000000645,,
2494,PATH000003220,,
2495,PATH000000618,,
2496,PATH000000668,,
2498,PATH000000615,,
2499,PATH000000630,,
2500,PATH000000648,,
2501,PATH000000679,,
2503,PATH000000606,,
2504,PATH000000628,,
2505,PATH000000652,,
2506,PATH000000680,,
2507,PATH000000640,,
2509,PATH000003173,,
2510,PATH000000614,,
2511,PATH000000643,,
2512,PATH000001684,,
2513,PATH000000662,,
2514,PATH000000683,,
2515,PATH000002608,,
2516,PATH000002999,,
2517,PATH000003080,,
2518,PATH000000637,,
2519,PATH000000661,,
2520,PATH000000651,,
2522,PATH000000604,,
2523,PATH000000676,,
2525,PATH000000613,,
2526,PATH000000626,,
2527,PATH000000665,,
2528,PATH000000690,,
2529,PATH000000775,,
2530,PATH000000747,,
2531,PATH000000772,,
2532,PATH000000703,,
2533,PATH000002689,,
