,train,val,test
0,PATH000009745,PATH000013580,PATH000000816
1,PATH000009880,PATH000012130,PATH000012617
2,PATH000009844,PATH000004592,PATH000005217
3,PATH000009894,PATH000008815,PATH000009253
4,PATH000004806,PATH000006891,PATH000007854
5,PATH000009571,PATH000011955,PATH000000204
6,PATH000009951,PATH000009782,PATH000000715
7,PATH000009729,PATH000012304,PATH000004778
8,PATH000000630,PATH000007906,PATH000008403
9,PATH000000648,PATH000000032,PATH000009761
10,PATH000012709,PATH000009028,PATH000000026
11,PATH000007994,PATH000004917,PATH000004886
12,PATH000003861,PATH000004238,PATH000004968
13,PATH000012764,PATH000000522,PATH000008975
14,PATH000001743,PATH000000323,PATH000009651
15,PATH000000272,PATH000007976,PATH000004353
16,PATH000000207,PATH000008699,PATH000000687
17,PATH000000259,PATH000005022,PATH000013613
18,PATH000000294,PATH000008840,PATH000000276
19,PATH000000305,PATH000008845,PATH000007728
20,PATH000000317,PATH000004034,PATH000000328
21,PATH000000310,PATH000005835,PATH000011764
22,PATH000000293,PATH000004235,PATH000011805
23,PATH000000295,PATH000004242,PATH000005134
24,PATH000000304,PATH000007681,PATH000008793
25,PATH000000344,PATH000007829,PATH000001664
26,PATH000000299,PATH000011964,PATH000000996
27,PATH000000311,PATH000011966,PATH000000474
28,PATH000000324,PATH000000282,PATH000000479
29,PATH000004207,PATH000003600,PATH000000336
30,PATH000009068,PATH000004230,PATH000007438
31,PATH000009270,PATH000009382,PATH000007492
32,PATH000009158,PATH000000446,PATH000007546
33,PATH000009033,PATH000000457,PATH000012369
34,PATH000009179,PATH000000928,PATH000000060
35,PATH000009080,PATH000003012,PATH000008639
36,PATH000004241,PATH000009452,PATH000004649
37,PATH000004226,PATH000009714,PATH000008363
38,PATH000009139,PATH000001303,PATH000009479
39,PATH000008972,PATH000001348,PATH000009900
40,PATH000000354,PATH000005487,PATH000008601
41,PATH000000335,PATH000011628,PATH000012140
42,PATH000000345,PATH000001760,PATH000013538
43,PATH000009148,PATH000001780,PATH000011667
44,PATH000009180,PATH000001798,PATH000011825
45,PATH000000534,PATH000011693,PATH000011837
46,PATH000000361,PATH000011744,PATH000007289
47,PATH000000376,PATH000007645,PATH000012388
48,PATH000009187,PATH000007788,PATH000000197
49,PATH000009161,PATH000009620,PATH000000225
50,PATH000009072,PATH000005151,PATH000011636
51,PATH000008925,PATH000005135,PATH000001724
52,PATH000009182,PATH000005233,PATH000003216
53,PATH000000535,PATH000005515,PATH000003234
54,PATH000003246,PATH000005722,PATH000001484
55,PATH000003093,PATH000003878,PATH000001489
56,PATH000003230,PATH000007763,PATH000001493
57,PATH000004636,PATH000007849,PATH000003036
58,PATH000008688,PATH000007930,PATH000003264
59,PATH000008727,PATH000009839,PATH000003726
60,PATH000008604,PATH000000326,PATH000003753
61,PATH000008497,PATH000005069,PATH000004784
62,PATH000009287,PATH000005072,PATH000000056
63,PATH000009288,PATH000005387,PATH000012230
64,PATH000009860,PATH000005613,PATH000004142
65,PATH000009986,PATH000009519,PATH000002658
66,PATH000004840,PATH000007090,PATH000002723
67,PATH000004394,PATH000007276,PATH000007733
68,PATH000002927,PATH000007919,PATH000002919
69,PATH000008666,PATH000005887,PATH000007826
70,PATH000008661,PATH000003555,PATH000007835
71,PATH000009954,PATH000009929,PATH000004210
72,PATH000009766,PATH000003895,PATH000011928
73,PATH000012054,PATH000009712,PATH000001263
74,PATH000012376,PATH000000587,PATH000003659
75,PATH000012761,PATH000000589,PATH000012516
76,PATH000000979,PATH000012326,PATH000005684
77,PATH000012415,PATH000007612,PATH000007678
78,PATH000005844,PATH000008393,PATH000000902
79,PATH000001932,PATH000012537,PATH000003341
80,PATH000012003,PATH000004833,PATH000007081
81,PATH000000980,PATH000008054,PATH000000581
82,PATH000006957,PATH000007584,PATH000007201
83,PATH000001077,PATH000008140,PATH000000100
84,PATH000012571,PATH000000377,PATH000008294
85,PATH000005572,PATH000000406,PATH000008429
86,PATH000001170,PATH000012010,PATH000001444
87,PATH000001885,PATH000007123,PATH000004211
88,PATH000011941,PATH000004478,PATH000004222
89,PATH000012078,PATH000004695,
90,PATH000001002,PATH000008950,
91,PATH000001374,PATH000009079,
92,PATH000001387,PATH000008161,
93,PATH000005011,PATH000011589,
94,PATH000012058,PATH000004724,
95,PATH000012750,PATH000005501,
96,PATH000001880,PATH000000481,
97,PATH000012371,PATH000000527,
98,PATH000000925,PATH000009764,
99,PATH000005094,PATH000008245,
100,PATH000006947,,
101,PATH000012727,,
