,train,val,test
PATH000009745,True,False,False
PATH000009880,True,False,False
PATH000009844,True,False,False
PATH000009894,True,False,False
PATH000004806,True,False,False
PATH000009571,True,False,False
PATH000009951,True,False,False
PATH000009729,True,False,False
PATH000000630,True,False,False
PATH000000648,True,False,False
PATH000012709,True,False,False
PATH000007994,True,False,False
PATH000003861,True,False,False
PATH000012764,True,False,False
PATH000001743,True,False,False
PATH000000272,True,False,False
PATH000000207,True,False,False
PATH000000259,True,False,False
PATH000000294,True,False,False
PATH000000305,True,False,False
PATH000000317,True,False,False
PATH000000310,True,False,False
PATH000000293,True,False,False
PATH000000295,True,False,False
PATH000000304,True,False,False
PATH000000344,True,False,False
PATH000000299,True,False,False
PATH000000311,True,False,False
PATH000000324,True,False,False
PATH000004207,True,False,False
PATH000009068,True,False,False
PATH000009270,True,False,False
PATH000009158,True,False,False
PATH000009033,True,False,False
PATH000009179,True,False,False
PATH000009080,True,False,False
PATH000004241,True,False,False
PATH000004226,True,False,False
PATH000009139,True,False,False
PATH000008972,True,False,False
PATH000000354,True,False,False
PATH000000335,True,False,False
PATH000000345,True,False,False
PATH000009148,True,False,False
PATH000009180,True,False,False
PATH000000534,True,False,False
PATH000000361,True,False,False
PATH000000376,True,False,False
PATH000009187,True,False,False
PATH000009161,True,False,False
PATH000009072,True,False,False
PATH000008925,True,False,False
PATH000009182,True,False,False
PATH000000535,True,False,False
PATH000003246,True,False,False
PATH000003093,True,False,False
PATH000003230,True,False,False
PATH000004636,True,False,False
PATH000008688,True,False,False
PATH000008727,True,False,False
PATH000008604,True,False,False
PATH000008497,True,False,False
PATH000009287,True,False,False
PATH000009288,True,False,False
PATH000009860,True,False,False
PATH000009986,True,False,False
PATH000004840,True,False,False
PATH000004394,True,False,False
PATH000002927,True,False,False
PATH000008666,True,False,False
PATH000008661,True,False,False
PATH000009954,True,False,False
PATH000009766,True,False,False
PATH000012054,True,False,False
PATH000012376,True,False,False
PATH000012761,True,False,False
PATH000000979,True,False,False
PATH000012415,True,False,False
PATH000005844,True,False,False
PATH000001932,True,False,False
PATH000012003,True,False,False
PATH000000980,True,False,False
PATH000006957,True,False,False
PATH000001077,True,False,False
PATH000012571,True,False,False
PATH000005572,True,False,False
PATH000001170,True,False,False
PATH000001885,True,False,False
PATH000011941,True,False,False
PATH000012078,True,False,False
PATH000001002,True,False,False
PATH000001374,True,False,False
PATH000001387,True,False,False
PATH000005011,True,False,False
PATH000012058,True,False,False
PATH000012750,True,False,False
PATH000001880,True,False,False
PATH000012371,True,False,False
PATH000000925,True,False,False
PATH000005094,True,False,False
PATH000006947,True,False,False
PATH000012727,True,False,False
PATH000001324,True,False,False
PATH000000945,True,False,False
PATH000013756,True,False,False
PATH000000986,True,False,False
PATH000000997,True,False,False
PATH000001250,True,False,False
PATH000000602,True,False,False
PATH000007134,True,False,False
PATH000001146,True,False,False
PATH000002004,True,False,False
PATH000006844,True,False,False
PATH000004270,True,False,False
PATH000007978,True,False,False
PATH000003745,True,False,False
PATH000003773,True,False,False
PATH000011719,True,False,False
PATH000011835,True,False,False
PATH000011661,True,False,False
PATH000003913,True,False,False
PATH000003950,True,False,False
PATH000004089,True,False,False
PATH000004003,True,False,False
PATH000005876,True,False,False
PATH000011663,True,False,False
PATH000011812,True,False,False
PATH000011870,True,False,False
PATH000011865,True,False,False
PATH000011808,True,False,False
PATH000011704,True,False,False
PATH000003701,True,False,False
PATH000003712,True,False,False
PATH000007572,True,False,False
PATH000005870,True,False,False
PATH000007718,True,False,False
PATH000007956,True,False,False
PATH000009982,True,False,False
PATH000007819,True,False,False
PATH000007844,True,False,False
PATH000004707,True,False,False
PATH000005683,True,False,False
PATH000008780,True,False,False
PATH000008747,True,False,False
PATH000009962,True,False,False
PATH000004496,True,False,False
PATH000004925,True,False,False
PATH000004650,True,False,False
PATH000005127,True,False,False
PATH000007526,True,False,False
PATH000009938,True,False,False
PATH000009578,True,False,False
PATH000004744,True,False,False
PATH000004703,True,False,False
PATH000008000,True,False,False
PATH000000122,True,False,False
PATH000000121,True,False,False
PATH000000117,True,False,False
PATH000000008,True,False,False
PATH000000004,True,False,False
PATH000000157,True,False,False
PATH000000149,True,False,False
PATH000000144,True,False,False
PATH000000453,True,False,False
PATH000000500,True,False,False
PATH000000227,True,False,False
PATH000000796,True,False,False
PATH000000868,True,False,False
PATH000000862,True,False,False
PATH000000255,True,False,False
PATH000000494,True,False,False
PATH000000873,True,False,False
PATH000001629,True,False,False
PATH000001765,True,False,False
PATH000001769,True,False,False
PATH000001585,True,False,False
PATH000001400,True,False,False
PATH000000248,True,False,False
PATH000003582,True,False,False
PATH000001572,True,False,False
PATH000001596,True,False,False
PATH000000867,True,False,False
PATH000000872,True,False,False
PATH000002596,True,False,False
PATH000003499,True,False,False
PATH000003354,True,False,False
PATH000005021,True,False,False
PATH000008278,True,False,False
PATH000011907,True,False,False
PATH000008389,True,False,False
PATH000003799,True,False,False
PATH000005641,True,False,False
PATH000005096,True,False,False
PATH000005811,True,False,False
PATH000013490,True,False,False
PATH000007651,True,False,False
PATH000006471,True,False,False
PATH000008396,True,False,False
PATH000008610,True,False,False
PATH000009778,True,False,False
PATH000009857,True,False,False
PATH000009432,True,False,False
PATH000009678,True,False,False
PATH000009798,True,False,False
PATH000009976,True,False,False
PATH000009538,True,False,False
PATH000009756,True,False,False
PATH000004255,True,False,False
PATH000004370,True,False,False
PATH000004780,True,False,False
PATH000004529,True,False,False
PATH000009557,True,False,False
PATH000009545,True,False,False
PATH000004430,True,False,False
PATH000009630,True,False,False
PATH000010004,True,False,False
PATH000009466,True,False,False
PATH000009876,True,False,False
PATH000000649,True,False,False
PATH000000671,True,False,False
PATH000000661,True,False,False
PATH000000699,True,False,False
PATH000013755,True,False,False
PATH000007685,True,False,False
PATH000007738,True,False,False
PATH000003894,True,False,False
PATH000000627,True,False,False
PATH000002860,True,False,False
PATH000003212,True,False,False
PATH000006855,True,False,False
PATH000007710,True,False,False
PATH000008023,True,False,False
PATH000007577,True,False,False
PATH000007727,True,False,False
PATH000002713,True,False,False
PATH000011796,True,False,False
PATH000000654,True,False,False
PATH000003160,True,False,False
PATH000002793,True,False,False
PATH000003063,True,False,False
PATH000002684,True,False,False
PATH000002786,True,False,False
PATH000002949,True,False,False
PATH000000623,True,False,False
PATH000000624,True,False,False
PATH000013542,True,False,False
PATH000011973,True,False,False
PATH000002641,True,False,False
PATH000002836,True,False,False
PATH000001695,True,False,False
PATH000007699,True,False,False
PATH000001709,True,False,False
PATH000001703,True,False,False
PATH000007507,True,False,False
PATH000002597,True,False,False
PATH000007627,True,False,False
PATH000007881,True,False,False
PATH000000745,True,False,False
PATH000003183,True,False,False
PATH000003184,True,False,False
PATH000008040,True,False,False
PATH000000185,True,False,False
PATH000000194,True,False,False
PATH000000191,True,False,False
PATH000009076,True,False,False
PATH000000298,True,False,False
PATH000000314,True,False,False
PATH000000301,True,False,False
PATH000000306,True,False,False
PATH000000315,True,False,False
PATH000000321,True,False,False
PATH000004232,True,False,False
PATH000000342,True,False,False
PATH000000347,True,False,False
PATH000008973,True,False,False
PATH000009065,True,False,False
PATH000004239,True,False,False
PATH000009108,True,False,False
PATH000004234,True,False,False
PATH000009227,True,False,False
PATH000000334,True,False,False
PATH000000341,True,False,False
PATH000000353,True,False,False
PATH000000370,True,False,False
PATH000000357,True,False,False
PATH000000358,True,False,False
PATH000000359,True,False,False
PATH000000365,True,False,False
PATH000000360,True,False,False
PATH000000368,True,False,False
PATH000009145,True,False,False
PATH000009151,True,False,False
PATH000008964,True,False,False
PATH000009169,True,False,False
PATH000000371,True,False,False
PATH000000362,True,False,False
PATH000000364,True,False,False
PATH000000540,True,False,False
PATH000000391,True,False,False
PATH000000404,True,False,False
PATH000000392,True,False,False
PATH000000401,True,False,False
PATH000000403,True,False,False
PATH000000542,True,False,False
PATH000000546,True,False,False
PATH000009116,True,False,False
PATH000009196,True,False,False
PATH000009219,True,False,False
PATH000000379,True,False,False
PATH000000402,True,False,False
PATH000000388,True,False,False
PATH000000398,True,False,False
PATH000000409,True,False,False
PATH000008907,True,False,False
PATH000009111,True,False,False
PATH000003191,True,False,False
PATH000002996,True,False,False
PATH000003166,True,False,False
PATH000002673,True,False,False
PATH000002763,True,False,False
