,train,val,test
0,PATH000003220,PATH000005215,PATH000007935
1,PATH000003173,PATH000003904,PATH000006695
2,PATH000001684,PATH000004072,PATH000004178
3,PATH000007871,PATH000004077,PATH000007437
4,PATH000001731,PATH000006489,PATH000006530
5,PATH000001540,PATH000006275,PATH000003956
6,PATH000001559,PATH000006656,PATH000006120
7,PATH000001706,PATH000004224,PATH000005166
8,PATH000002623,PATH000008332,PATH000005137
9,PATH000006075,PATH000008352,PATH000004000
10,PATH000001700,PATH000004318,PATH000008018
11,PATH000001552,PATH000001918,PATH000007388
12,PATH000001536,PATH000006347,PATH000008139
13,PATH000004044,PATH000004520,PATH000006312
14,PATH000002957,PATH000003929,PATH000006532
15,PATH000003926,PATH000008202,PATH000004143
16,PATH000003186,PATH000006988,PATH000008207
17,PATH000003865,PATH000005520,PATH000004274
18,PATH000004025,PATH000004745,PATH000008390
19,PATH000001564,PATH000008289,PATH000006459
20,PATH000007616,PATH000007403,PATH000003831
21,PATH000004231,PATH000006617,PATH000005195
22,PATH000002761,PATH000003823,PATH000006737
23,PATH000003119,PATH000006993,PATH000003993
24,PATH000002875,PATH000007100,PATH000004412
25,PATH000003009,PATH000004257,PATH000007535
26,PATH000002648,PATH000005649,PATH000004082
27,PATH000002687,PATH000005601,PATH000008285
28,PATH000003187,PATH000006423,PATH000008260
29,PATH000003188,PATH000004331,PATH000004062
30,PATH000003240,PATH000001535,PATH000004500
31,PATH000002858,PATH000004525,PATH000005454
32,PATH000002586,PATH000001653,PATH000003502
33,PATH000003002,PATH000001449,PATH000006334
34,PATH000002618,PATH000009274,PATH000003513
35,PATH000003020,PATH000005202,PATH000005732
36,PATH000002734,PATH000006556,PATH000008235
37,PATH000008721,PATH000006432,PATH000006506
38,PATH000002810,PATH000006146,PATH000006681
39,PATH000002821,PATH000005929,PATH000006049
40,PATH000008491,PATH000005752,PATH000006098
41,PATH000002649,PATH000006044,PATH000006550
42,PATH000008655,PATH000006698,PATH000003080
43,PATH000001957,PATH000006829,PATH000001550
44,PATH000005438,PATH000002886,PATH000001652
45,PATH000005643,PATH000004214,PATH000003512
46,PATH000001529,PATH000001917,PATH000004282
47,PATH000001510,PATH000007025,PATH000006621
48,PATH000001497,PATH000002659,PATH000001984
49,PATH000005502,PATH000008354,PATH000005779
50,PATH000005194,PATH000006563,PATH000006165
51,PATH000005608,PATH000007103,PATH000001802
52,PATH000001942,PATH000003215,PATH000008005
53,PATH000007016,PATH000006499,PATH000001573
54,PATH000006965,PATH000006553,PATH000004305
55,PATH000001438,PATH000006797,PATH000001983
56,PATH000001946,PATH000004258,PATH000008493
57,PATH000005482,PATH000002998,PATH000001853
58,PATH000005931,PATH000008122,PATH000008436
59,PATH000001434,PATH000008381,PATH000001437
60,PATH000001843,PATH000006531,PATH000007695
61,PATH000006862,PATH000006362,PATH000001625
62,PATH000005916,PATH000008036,PATH000004253
63,PATH000006985,PATH000001842,PATH000001452
64,PATH000005106,PATH000005139,PATH000006144
65,PATH000005702,PATH000006571,PATH000006915
66,PATH000005112,PATH000001867,PATH000006744
67,PATH000005765,PATH000003194,PATH000008339
68,PATH000005936,PATH000001479,PATH000001793
69,PATH000001827,PATH000007701,PATH000005610
70,PATH000005492,PATH000006990,PATH000003458
71,PATH000005526,PATH000007682,PATH000004212
72,PATH000005819,PATH000005771,PATH000006662
73,PATH000006847,PATH000001879,PATH000006822
74,PATH000005587,PATH000001877,PATH000001511
75,PATH000005214,PATH000006684,PATH000008309
76,PATH000005646,PATH000006537,PATH000001591
77,PATH000005541,PATH000006426,PATH000008131
78,PATH000005558,PATH000001634,PATH000008295
79,PATH000005692,PATH000008412,PATH000006472
80,PATH000005583,PATH000005964,PATH000008209
81,PATH000005626,PATH000008215,PATH000005537
82,PATH000006851,PATH000007287,PATH000002897
83,PATH000006843,PATH000005795,PATH000006119
84,PATH000001894,PATH000001440,PATH000003390
85,PATH000005226,PATH000006645,PATH000005534
86,PATH000005793,PATH000008166,PATH000005102
87,PATH000005594,PATH000005923,PATH000001518
88,PATH000005338,PATH000001561,PATH000006296
89,PATH000005604,PATH000006427,PATH000005249
90,PATH000005928,PATH000005113,PATH000008430
91,PATH000005208,PATH000001909,PATH000001645
92,PATH000005512,PATH000003764,PATH000007013
93,PATH000006866,PATH000007427,PATH000005683
94,PATH000005343,PATH000005387,PATH000006496
95,PATH000005645,PATH000008373,PATH000004242
96,PATH000007257,PATH000005217,PATH000004034
97,PATH000005412,PATH000006708,PATH000007728
98,PATH000007151,PATH000002927,PATH000004496
99,PATH000006845,PATH000003913,PATH000005440
100,PATH000002002,PATH000007134,PATH000006303
101,PATH000007002,PATH000001818,PATH000007492
102,PATH000006882,PATH000005508,PATH000001607
103,PATH000001949,PATH000008326,PATH000001695
104,PATH000007044,PATH000007090,PATH000006081
105,PATH000007235,PATH000006339,PATH000001483
106,PATH000005500,PATH000001621,PATH000004423
107,PATH000005815,PATH000007763,PATH000007276
108,PATH000001961,PATH000001427,PATH000006042
109,PATH000001975,PATH000008372,PATH000008110
110,PATH000003976,PATH000005515,PATH000005223
111,PATH000003924,PATH000008496,PATH000005933
112,PATH000003991,PATH000007627,PATH000006830
113,PATH000003969,PATH000001460,PATH000007390
114,PATH000003992,PATH000001650,PATH000001806
115,PATH000004197,PATH000001432,PATH000001814
116,PATH000003979,PATH000007911,PATH000004019
117,PATH000004095,PATH000007507,PATH000005462
118,PATH000004106,PATH000005532,PATH000008076
119,PATH000004121,PATH000007188,PATH000003191
120,PATH000004261,PATH000003010,PATH000003310
121,PATH000004508,PATH000003431,PATH000008042
122,PATH000004911,PATH000001433,PATH000001475
123,PATH000003916,PATH000002633,PATH000004040
124,PATH000003933,,
125,PATH000004177,,
126,PATH000003899,,
127,PATH000004124,,
128,PATH000004036,,
129,PATH000003848,,
130,PATH000003955,,
131,PATH000004030,,
132,PATH000003844,,
133,PATH000004085,,
134,PATH000004088,,
135,PATH000004017,,
136,PATH000004163,,
137,PATH000004175,,
138,PATH000004035,,
139,PATH000004125,,
140,PATH000004029,,
141,PATH000004122,,
142,PATH000004147,,
143,PATH000004325,,
144,PATH000004323,,
145,PATH000004340,,
146,PATH000004414,,
147,PATH000004307,,
148,PATH000004403,,
149,PATH000007793,,
150,PATH000005374,,
151,PATH000007152,,
152,PATH000007247,,
153,PATH000007371,,
154,PATH000007198,,
155,PATH000007705,,
156,PATH000007851,,
157,PATH000007559,,
158,PATH000008461,,
159,PATH000003910,,
160,PATH000004100,,
161,PATH000004066,,
162,PATH000003945,,
163,PATH000004022,,
164,PATH000003911,,
165,PATH000004013,,
166,PATH000004190,,
167,PATH000004416,,
168,PATH000003943,,
169,PATH000004061,,
170,PATH000003845,,
171,PATH000004140,,
172,PATH000004026,,
173,PATH000004057,,
174,PATH000004128,,
175,PATH000004184,,
176,PATH000003912,,
177,PATH000004078,,
178,PATH000004164,,
179,PATH000004475,,
180,PATH000004068,,
181,PATH000004115,,
182,PATH000004727,,
183,PATH000004494,,
184,PATH000007224,,
185,PATH000004405,,
186,PATH000004296,,
187,PATH000004479,,
188,PATH000005466,,
189,PATH000005354,,
190,PATH000005919,,
191,PATH000005423,,
192,PATH000007106,,
193,PATH000007363,,
194,PATH000007796,,
195,PATH000008028,,
196,PATH000008070,,
197,PATH000007646,,
198,PATH000008266,,
199,PATH000008335,,
200,PATH000007977,,
201,PATH000008172,,
202,PATH000004189,,
203,PATH000004006,,
204,PATH000004119,,
205,PATH000003940,,
206,PATH000003925,,
207,PATH000003989,,
208,PATH000004154,,
209,PATH000003826,,
210,PATH000003851,,
211,PATH000004059,,
212,PATH000003975,,
213,PATH000004094,,
214,PATH000004136,,
215,PATH000004043,,
216,PATH000004092,,
217,PATH000004064,,
218,PATH000004107,,
