,train,val,test
PATH000003220,True,False,False
PATH000003173,True,False,False
PATH000001684,True,False,False
PATH000007871,True,False,False
PATH000001731,True,False,False
PATH000001540,True,False,False
PATH000001559,True,False,False
PATH000001706,True,False,False
PATH000002623,True,False,False
PATH000006075,True,False,False
PATH000001700,True,False,False
PATH000001552,True,False,False
PATH000001536,True,False,False
PATH000004044,True,False,False
PATH000002957,True,False,False
PATH000003926,True,False,False
PATH000003186,True,False,False
PATH000003865,True,False,False
PATH000004025,True,False,False
PATH000001564,True,False,False
PATH000007616,True,False,False
PATH000004231,True,False,False
PATH000002761,True,False,False
PATH000003119,True,False,False
PATH000002875,True,False,False
PATH000003009,True,False,False
PATH000002648,True,False,False
PATH000002687,True,False,False
PATH000003187,True,False,False
PATH000003188,True,False,False
PATH000003240,True,False,False
PATH000002858,True,False,False
PATH000002586,True,False,False
PATH000003002,True,False,False
PATH000002618,True,False,False
PATH000003020,True,False,False
PATH000002734,True,False,False
PATH000008721,True,False,False
PATH000002810,True,False,False
PATH000002821,True,False,False
PATH000008491,True,False,False
PATH000002649,True,False,False
PATH000008655,True,False,False
PATH000001957,True,False,False
PATH000005438,True,False,False
PATH000005643,True,False,False
PATH000001529,True,False,False
PATH000001510,True,False,False
PATH000001497,True,False,False
PATH000005502,True,False,False
PATH000005194,True,False,False
PATH000005608,True,False,False
PATH000001942,True,False,False
PATH000007016,True,False,False
PATH000006965,True,False,False
PATH000001438,True,False,False
PATH000001946,True,False,False
PATH000005482,True,False,False
PATH000005931,True,False,False
PATH000001434,True,False,False
PATH000001843,True,False,False
PATH000006862,True,False,False
PATH000005916,True,False,False
PATH000006985,True,False,False
PATH000005106,True,False,False
PATH000005702,True,False,False
PATH000005112,True,False,False
PATH000005765,True,False,False
PATH000005936,True,False,False
PATH000001827,True,False,False
PATH000005492,True,False,False
PATH000005526,True,False,False
PATH000005819,True,False,False
PATH000006847,True,False,False
PATH000005587,True,False,False
PATH000005214,True,False,False
PATH000005646,True,False,False
PATH000005541,True,False,False
PATH000005558,True,False,False
PATH000005692,True,False,False
PATH000005583,True,False,False
PATH000005626,True,False,False
PATH000006851,True,False,False
PATH000006843,True,False,False
PATH000001894,True,False,False
PATH000005226,True,False,False
PATH000005793,True,False,False
PATH000005594,True,False,False
PATH000005338,True,False,False
PATH000005604,True,False,False
PATH000005928,True,False,False
PATH000005208,True,False,False
PATH000005512,True,False,False
PATH000006866,True,False,False
PATH000005343,True,False,False
PATH000005645,True,False,False
PATH000007257,True,False,False
PATH000005412,True,False,False
PATH000007151,True,False,False
PATH000006845,True,False,False
PATH000002002,True,False,False
PATH000007002,True,False,False
PATH000006882,True,False,False
PATH000001949,True,False,False
PATH000007044,True,False,False
PATH000007235,True,False,False
PATH000005500,True,False,False
PATH000005815,True,False,False
PATH000001961,True,False,False
PATH000001975,True,False,False
PATH000003976,True,False,False
PATH000003924,True,False,False
PATH000003991,True,False,False
PATH000003969,True,False,False
PATH000003992,True,False,False
PATH000004197,True,False,False
PATH000003979,True,False,False
PATH000004095,True,False,False
PATH000004106,True,False,False
PATH000004121,True,False,False
PATH000004261,True,False,False
PATH000004508,True,False,False
PATH000004911,True,False,False
PATH000003916,True,False,False
PATH000003933,True,False,False
PATH000004177,True,False,False
PATH000003899,True,False,False
PATH000004124,True,False,False
PATH000004036,True,False,False
PATH000003848,True,False,False
PATH000003955,True,False,False
PATH000004030,True,False,False
PATH000003844,True,False,False
PATH000004085,True,False,False
PATH000004088,True,False,False
PATH000004017,True,False,False
PATH000004163,True,False,False
PATH000004175,True,False,False
PATH000004035,True,False,False
PATH000004125,True,False,False
PATH000004029,True,False,False
PATH000004122,True,False,False
PATH000004147,True,False,False
PATH000004325,True,False,False
PATH000004323,True,False,False
PATH000004340,True,False,False
PATH000004414,True,False,False
PATH000004307,True,False,False
PATH000004403,True,False,False
PATH000007793,True,False,False
PATH000005374,True,False,False
PATH000007152,True,False,False
PATH000007247,True,False,False
PATH000007371,True,False,False
PATH000007198,True,False,False
PATH000007705,True,False,False
PATH000007851,True,False,False
PATH000007559,True,False,False
PATH000008461,True,False,False
PATH000003910,True,False,False
PATH000004100,True,False,False
PATH000004066,True,False,False
PATH000003945,True,False,False
PATH000004022,True,False,False
PATH000003911,True,False,False
PATH000004013,True,False,False
PATH000004190,True,False,False
PATH000004416,True,False,False
PATH000003943,True,False,False
PATH000004061,True,False,False
PATH000003845,True,False,False
PATH000004140,True,False,False
PATH000004026,True,False,False
PATH000004057,True,False,False
PATH000004128,True,False,False
PATH000004184,True,False,False
PATH000003912,True,False,False
PATH000004078,True,False,False
PATH000004164,True,False,False
PATH000004475,True,False,False
PATH000004068,True,False,False
PATH000004115,True,False,False
PATH000004727,True,False,False
PATH000004494,True,False,False
PATH000007224,True,False,False
PATH000004405,True,False,False
PATH000004296,True,False,False
PATH000004479,True,False,False
PATH000005466,True,False,False
PATH000005354,True,False,False
PATH000005919,True,False,False
PATH000005423,True,False,False
PATH000007106,True,False,False
PATH000007363,True,False,False
PATH000007796,True,False,False
PATH000008028,True,False,False
PATH000008070,True,False,False
PATH000007646,True,False,False
PATH000008266,True,False,False
PATH000008335,True,False,False
PATH000007977,True,False,False
PATH000008172,True,False,False
PATH000004189,True,False,False
PATH000004006,True,False,False
PATH000004119,True,False,False
PATH000003940,True,False,False
PATH000003925,True,False,False
PATH000003989,True,False,False
PATH000004154,True,False,False
PATH000003826,True,False,False
PATH000003851,True,False,False
PATH000004059,True,False,False
PATH000003975,True,False,False
PATH000004094,True,False,False
PATH000004136,True,False,False
PATH000004043,True,False,False
PATH000004092,True,False,False
PATH000004064,True,False,False
PATH000004107,True,False,False
PATH000004104,True,False,False
PATH000004286,True,False,False
PATH000004488,True,False,False
PATH000004409,True,False,False
PATH000007944,True,False,False
PATH000004485,True,False,False
PATH000005448,True,False,False
PATH000005631,True,False,False
PATH000007670,True,False,False
PATH000007671,True,False,False
PATH000007965,True,False,False
PATH000008184,True,False,False
PATH000008307,True,False,False
PATH000003971,True,False,False
PATH000004042,True,False,False
PATH000004144,True,False,False
PATH000004176,True,False,False
PATH000003914,True,False,False
PATH000004015,True,False,False
PATH000004192,True,False,False
PATH000004200,True,False,False
PATH000003941,True,False,False
PATH000003966,True,False,False
PATH000003898,True,False,False
PATH000004534,True,False,False
PATH000004344,True,False,False
PATH000005130,True,False,False
PATH000005368,True,False,False
PATH000004610,True,False,False
PATH000005465,True,False,False
PATH000005565,True,False,False
PATH000005668,True,False,False
PATH000007687,True,False,False
PATH000007475,True,False,False
PATH000007491,True,False,False
PATH000006076,True,False,False
PATH000007324,True,False,False
PATH000007474,True,False,False
PATH000008276,True,False,False
PATH000007775,True,False,False
PATH000007970,True,False,False
PATH000008092,True,False,False
PATH000008112,True,False,False
PATH000003906,True,False,False
PATH000003905,True,False,False
PATH000004146,True,False,False
PATH000004173,True,False,False
PATH000004248,True,False,False
PATH000007062,True,False,False
PATH000005347,True,False,False
PATH000007760,True,False,False
PATH000007933,True,False,False
PATH000005686,True,False,False
PATH000005107,True,False,False
PATH000005805,True,False,False
PATH000007026,True,False,False
PATH000007132,True,False,False
PATH000005070,True,False,False
PATH000005172,True,False,False
PATH000007476,True,False,False
PATH000007910,True,False,False
PATH000007327,True,False,False
PATH000007484,True,False,False
PATH000007304,True,False,False
PATH000007351,True,False,False
PATH000008151,True,False,False
PATH000007946,True,False,False
PATH000008068,True,False,False
PATH000007708,True,False,False
PATH000007606,True,False,False
PATH000007983,True,False,False
PATH000008044,True,False,False
PATH000007582,True,False,False
PATH000007939,True,False,False
PATH000008431,True,False,False
PATH000004421,True,False,False
PATH000004110,True,False,False
PATH000005754,True,False,False
PATH000005920,True,False,False
PATH000005921,True,False,False
PATH000005132,True,False,False
PATH000005669,True,False,False
PATH000005922,True,False,False
PATH000006014,True,False,False
PATH000007117,True,False,False
PATH000007158,True,False,False
PATH000005966,True,False,False
PATH000006008,True,False,False
PATH000005949,True,False,False
PATH000006025,True,False,False
PATH000007126,True,False,False
PATH000007119,True,False,False
PATH000007256,True,False,False
PATH000004130,True,False,False
PATH000007115,True,False,False
PATH000007350,True,False,False
PATH000007373,True,False,False
PATH000007499,True,False,False
PATH000007540,True,False,False
PATH000007547,True,False,False
PATH000003964,True,False,False
PATH000003987,True,False,False
PATH000004070,True,False,False
PATH000004073,True,False,False
PATH000004314,True,False,False
PATH000003930,True,False,False
PATH000004056,True,False,False
PATH000004191,True,False,False
PATH000003962,True,False,False
PATH000004315,True,False,False
PATH000004458,True,False,False
PATH000004808,True,False,False
PATH000004453,True,False,False
PATH000007096,True,False,False
PATH000004444,True,False,False
PATH000005557,True,False,False
PATH000005579,True,False,False
PATH000005627,True,False,False
PATH000007266,True,False,False
PATH000007267,True,False,False
PATH000007600,True,False,False
PATH000007644,True,False,False
PATH000007463,True,False,False
PATH000007711,True,False,False
PATH000004099,True,False,False
PATH000004113,True,False,False
PATH000003937,True,False,False
PATH000003901,True,False,False
PATH000003949,True,False,False
PATH000003959,True,False,False
PATH000004350,True,False,False
PATH000004386,True,False,False
PATH000004455,True,False,False
PATH000005606,True,False,False
PATH000004425,True,False,False
PATH000005419,True,False,False
PATH000005813,True,False,False
PATH000005663,True,False,False
PATH000005478,True,False,False
PATH000005576,True,False,False
PATH000005820,True,False,False
PATH000007575,True,False,False
PATH000007974,True,False,False
PATH000007706,True,False,False
PATH000004162,True,False,False
PATH000004168,True,False,False
PATH000004461,True,False,False
PATH000004511,True,False,False
PATH000004519,True,False,False
PATH000004468,True,False,False
PATH000005397,True,False,False
PATH000005435,True,False,False
PATH000004473,True,False,False
PATH000005799,True,False,False
PATH000005943,True,False,False
PATH000005974,True,False,False
PATH000007386,True,False,False
PATH000007625,True,False,False
PATH000004537,True,False,False
