,train,val,test
0,PATH000009605,PATH000007373,PATH000006256
1,PATH000009895,PATH000007499,PATH000003682
2,PATH000009869,PATH000007096,PATH000003763
3,PATH000009829,PATH000005877,PATH000006340
4,PATH000009378,PATH000011713,PATH000008743
5,PATH000009866,PATH000011800,PATH000004107
6,PATH000009949,PATH000007851,PATH000008714
7,PATH000009819,PATH000007304,PATH000006583
8,PATH000009448,PATH000008385,PATH000005799
9,PATH000004935,PATH000006231,PATH000008847
10,PATH000009703,PATH000005347,PATH000008184
11,PATH000009816,PATH000008044,PATH000008307
12,PATH000009695,PATH000008636,PATH000008893
13,PATH000009686,PATH000007644,PATH000008767
14,PATH000009901,PATH000003231,PATH000004494
15,PATH000009379,PATH000000747,PATH000004296
16,PATH000000642,PATH000004323,PATH000004405
17,PATH000003220,PATH000004885,PATH000008431
18,PATH000003173,PATH000009064,PATH000009514
19,PATH000000613,PATH000005872,PATH000006532
20,PATH000000690,PATH000013527,PATH000007324
21,PATH000000700,PATH000004714,PATH000003906
22,PATH000000713,PATH000002615,PATH000009828
23,PATH000003190,PATH000007775,PATH000007437
24,PATH000012766,PATH000004979,PATH000000998
25,PATH000002642,PATH000006489,PATH000001007
26,PATH000002828,PATH000004479,PATH000008092
27,PATH000003004,PATH000007026,PATH000009875
28,PATH000002623,PATH000003976,PATH000006167
29,PATH000006075,PATH000004811,PATH000002660
30,PATH000001700,PATH000004947,PATH000003081
31,PATH000001552,PATH000002683,PATH000003205
32,PATH000001536,PATH000002875,PATH000003206
33,PATH000004044,PATH000009809,PATH000004076
34,PATH000002957,PATH000003823,PATH000004340
35,PATH000003926,PATH000001564,PATH000004942
36,PATH000000673,PATH000009734,PATH000005583
37,PATH000002852,PATH000009055,PATH000005626
38,PATH000004025,PATH000013619,PATH000003652
39,PATH000000612,PATH000006265,PATH000003747
40,PATH000003228,PATH000009120,PATH000004863
41,PATH000000768,PATH000007267,PATH000009516
42,PATH000000684,PATH000003796,PATH000005631
43,PATH000000722,PATH000006014,PATH000004331
44,PATH000000751,PATH000007117,PATH000004751
45,PATH000000224,PATH000007158,PATH000004624
46,PATH000009098,PATH000003804,PATH000004699
47,PATH000009140,PATH000001684,PATH000000665
48,PATH000009241,PATH000005650,PATH000008179
49,PATH000009005,PATH000004655,PATH000007711
50,PATH000008992,PATH000011982,PATH000005195
51,PATH000009066,PATH000004647,PATH000005686
52,PATH000000363,PATH000004931,PATH000007475
53,PATH000009041,PATH000007491,PATH000011770
54,PATH000008894,PATH000011575,PATH000007371
55,PATH000008938,PATH000013601,PATH000012072
56,PATH000009155,PATH000012632,PATH000005045
57,PATH000009232,PATH000007983,PATH000003983
58,PATH000002637,PATH000005024,PATH000004060
59,PATH000003009,PATH000005280,PATH000004431
60,PATH000002648,PATH000006560,PATH000005749
61,PATH000002687,PATH000009060,PATH000007575
62,PATH000003078,PATH000006737,PATH000004598
63,PATH000002826,PATH000008221,PATH000004795
64,PATH000003187,PATH000003943,PATH000004930
65,PATH000002753,PATH000003899,PATH000004164
66,PATH000002634,PATH000004000,PATH000001998
67,PATH000003188,PATH000005226,PATH000002003
68,PATH000002586,PATH000005793,PATH000000394
69,PATH000004474,PATH000006643,PATH000006116
70,PATH000003020,PATH000000367,PATH000006585
71,PATH000002805,PATH000007274,PATH000003186
72,PATH000002734,PATH000004537,PATH000004250
73,PATH000009851,PATH000004115,PATH000001350
74,PATH000009475,PATH000007152,PATH000001975
75,PATH000008491,PATH000002909,PATH000007843
76,PATH000008613,PATH000009741,PATH000004495
77,PATH000008655,PATH000009853,PATH000008603
78,PATH000009815,PATH000004610,PATH000000692
79,PATH000013605,PATH000004659,PATH000002810
80,PATH000012644,PATH000001187,PATH000012758
81,PATH000013551,PATH000003940,PATH000005020
82,PATH000012769,PATH000000737,PATH000007130
83,PATH000012604,PATH000000942,PATH000003781
84,PATH000012104,PATH000000974,PATH000003955
85,PATH000000585,PATH000009506,PATH000004030
86,PATH000011912,PATH000005175,PATH000004808
87,PATH000012215,PATH000009971,PATH000006213
88,PATH000012400,PATH000012513,PATH000008142
89,PATH000000586,PATH000012554,PATH000011886
90,PATH000012256,PATH000009933,PATH000012018
91,PATH000001989,PATH000012636,PATH000002777
92,PATH000002000,PATH000012713,PATH000003316
93,PATH000012264,PATH000000948,PATH000003493
94,PATH000000593,PATH000000959,PATH000006137
95,PATH000001946,PATH000009523,PATH000006223
96,PATH000001955,PATH000001013,PATH000006676
97,PATH000012148,PATH000001014,PATH000006695
98,PATH000011574,PATH000000356,PATH000006697
99,PATH000005166,PATH000000374,PATH000006712
100,PATH000005702,PATH000008987,PATH000006779
101,PATH000005008,PATH000009197,PATH000006797
102,PATH000005765,PATH000003072,PATH000007802
103,PATH000012250,PATH000003179,PATH000000071
104,PATH000005587,PATH000012756,PATH000003449
105,PATH000005649,PATH000012777,PATH000003483
106,PATH000005214,PATH000003377,PATH000005502
107,PATH000005646,PATH000003562,PATH000005664
108,PATH000005541,PATH000001832,PATH000003333
109,PATH000005558,PATH000001892,PATH000003552
110,PATH000011651,PATH000009040,PATH000006143
111,PATH000000591,PATH000009163,PATH000009229
112,PATH000005594,PATH000012581,PATH000009249
113,PATH000005889,PATH000012679,PATH000012678
114,PATH000005512,PATH000008989,PATH000000529
115,PATH000005823,PATH000009133,PATH000006307
116,PATH000005343,PATH000002982,PATH000006362
117,PATH000005832,PATH000008926,PATH000006391
118,PATH000001330,PATH000008937,PATH000006142
119,PATH000001356,PATH000000130,PATH000005542
120,PATH000011534,PATH000000152,PATH000009560
121,PATH000005815,PATH000006593,PATH000001831
122,PATH000005895,PATH000008017,PATH000001878
123,PATH000003924,PATH000002987,PATH000006336
124,PATH000003991,PATH000012612,PATH000001412
125,PATH000003969,PATH000012630,PATH000002652
126,PATH000004197,PATH000000257,PATH000005235
127,PATH000004606,PATH000008917,PATH000007121
128,PATH000004743,PATH000000706,PATH000009881
129,PATH000004121,PATH000008993,PATH000005297
130,PATH000004508,PATH000006150,PATH000005481
131,PATH000004911,PATH000006850,PATH000008614
132,PATH000003979,PATH000007016,PATH000008650
133,PATH000004261,PATH000001018,PATH000012439
134,PATH000004095,PATH000001038,PATH000012448
135,PATH000004106,PATH000009532,PATH000001122
136,PATH000004053,PATH000003885,PATH000001125
137,PATH000004540,PATH000005191,PATH000011931
138,PATH000004810,PATH000001448,PATH000011897
139,PATH000003916,PATH000001482,PATH000012023
140,PATH000003956,PATH000003376,PATH000012067
141,PATH000004318,PATH000003451,PATH000001244
142,PATH000004779,PATH000009453,PATH000001286
143,PATH000003933,PATH000006817,PATH000001537
144,PATH000004062,PATH000006917,PATH000001545
