,train,val,test
PATH000009605,True,False,False
PATH000009895,True,False,False
PATH000009869,True,False,False
PATH000009829,True,False,False
PATH000009378,True,False,False
PATH000009866,True,False,False
PATH000009949,True,False,False
PATH000009819,True,False,False
PATH000009448,True,False,False
PATH000004935,True,False,False
PATH000009703,True,False,False
PATH000009816,True,False,False
PATH000009695,True,False,False
PATH000009686,True,False,False
PATH000009901,True,False,False
PATH000009379,True,False,False
PATH000000642,True,False,False
PATH000003220,True,False,False
PATH000003173,True,False,False
PATH000000613,True,False,False
PATH000000690,True,False,False
PATH000000700,True,False,False
PATH000000713,True,False,False
PATH000003190,True,False,False
PATH000012766,True,False,False
PATH000002642,True,False,False
PATH000002828,True,False,False
PATH000003004,True,False,False
PATH000002623,True,False,False
PATH000006075,True,False,False
PATH000001700,True,False,False
PATH000001552,True,False,False
PATH000001536,True,False,False
PATH000004044,True,False,False
PATH000002957,True,False,False
PATH000003926,True,False,False
PATH000000673,True,False,False
PATH000002852,True,False,False
PATH000004025,True,False,False
PATH000000612,True,False,False
PATH000003228,True,False,False
PATH000000768,True,False,False
PATH000000684,True,False,False
PATH000000722,True,False,False
PATH000000751,True,False,False
PATH000000224,True,False,False
PATH000009098,True,False,False
PATH000009140,True,False,False
PATH000009241,True,False,False
PATH000009005,True,False,False
PATH000008992,True,False,False
PATH000009066,True,False,False
PATH000000363,True,False,False
PATH000009041,True,False,False
PATH000008894,True,False,False
PATH000008938,True,False,False
PATH000009155,True,False,False
PATH000009232,True,False,False
PATH000002637,True,False,False
PATH000003009,True,False,False
PATH000002648,True,False,False
PATH000002687,True,False,False
PATH000003078,True,False,False
PATH000002826,True,False,False
PATH000003187,True,False,False
PATH000002753,True,False,False
PATH000002634,True,False,False
PATH000003188,True,False,False
PATH000002586,True,False,False
PATH000004474,True,False,False
PATH000003020,True,False,False
PATH000002805,True,False,False
PATH000002734,True,False,False
PATH000009851,True,False,False
PATH000009475,True,False,False
PATH000008491,True,False,False
PATH000008613,True,False,False
PATH000008655,True,False,False
PATH000009815,True,False,False
PATH000013605,True,False,False
PATH000012644,True,False,False
PATH000013551,True,False,False
PATH000012769,True,False,False
PATH000012604,True,False,False
PATH000012104,True,False,False
PATH000000585,True,False,False
PATH000011912,True,False,False
PATH000012215,True,False,False
PATH000012400,True,False,False
PATH000000586,True,False,False
PATH000012256,True,False,False
PATH000001989,True,False,False
PATH000002000,True,False,False
PATH000012264,True,False,False
PATH000000593,True,False,False
PATH000001946,True,False,False
PATH000001955,True,False,False
PATH000012148,True,False,False
PATH000011574,True,False,False
PATH000005166,True,False,False
PATH000005702,True,False,False
PATH000005008,True,False,False
PATH000005765,True,False,False
PATH000012250,True,False,False
PATH000005587,True,False,False
PATH000005649,True,False,False
PATH000005214,True,False,False
PATH000005646,True,False,False
PATH000005541,True,False,False
PATH000005558,True,False,False
PATH000011651,True,False,False
PATH000000591,True,False,False
PATH000005594,True,False,False
PATH000005889,True,False,False
PATH000005512,True,False,False
PATH000005823,True,False,False
PATH000005343,True,False,False
PATH000005832,True,False,False
PATH000001330,True,False,False
PATH000001356,True,False,False
PATH000011534,True,False,False
PATH000005815,True,False,False
PATH000005895,True,False,False
PATH000003924,True,False,False
PATH000003991,True,False,False
PATH000003969,True,False,False
PATH000004197,True,False,False
PATH000004606,True,False,False
PATH000004743,True,False,False
PATH000004121,True,False,False
PATH000004508,True,False,False
PATH000004911,True,False,False
PATH000003979,True,False,False
PATH000004261,True,False,False
PATH000004095,True,False,False
PATH000004106,True,False,False
PATH000004053,True,False,False
PATH000004540,True,False,False
PATH000004810,True,False,False
PATH000003916,True,False,False
PATH000003956,True,False,False
PATH000004318,True,False,False
PATH000004779,True,False,False
PATH000003933,True,False,False
PATH000004062,True,False,False
PATH000004177,True,False,False
PATH000004124,True,False,False
PATH000004776,True,False,False
PATH000004045,True,False,False
PATH000004196,True,False,False
PATH000004383,True,False,False
PATH000004734,True,False,False
PATH000003993,True,False,False
PATH000004036,True,False,False
PATH000003660,True,False,False
PATH000003848,True,False,False
PATH000003844,True,False,False
PATH000004088,True,False,False
PATH000004085,True,False,False
PATH000004017,True,False,False
PATH000004163,True,False,False
PATH000004175,True,False,False
PATH000003676,True,False,False
PATH000003794,True,False,False
PATH000003716,True,False,False
PATH000003762,True,False,False
PATH000003729,True,False,False
PATH000003784,True,False,False
PATH000004125,True,False,False
PATH000004029,True,False,False
PATH000004143,True,False,False
PATH000004122,True,False,False
PATH000004147,True,False,False
PATH000004325,True,False,False
PATH000004688,True,False,False
PATH000004874,True,False,False
PATH000004821,True,False,False
PATH000004414,True,False,False
PATH000004307,True,False,False
PATH000004403,True,False,False
PATH000004745,True,False,False
PATH000005050,True,False,False
PATH000007793,True,False,False
PATH000005374,True,False,False
PATH000007198,True,False,False
PATH000007559,True,False,False
PATH000008461,True,False,False
PATH000011694,True,False,False
PATH000003910,True,False,False
PATH000004100,True,False,False
PATH000004066,True,False,False
PATH000004075,True,False,False
PATH000004170,True,False,False
PATH000003945,True,False,False
PATH000004022,True,False,False
PATH000003816,True,False,False
PATH000004013,True,False,False
PATH000003911,True,False,False
PATH000003684,True,False,False
PATH000003723,True,False,False
PATH000004190,True,False,False
PATH000004416,True,False,False
PATH000004500,True,False,False
PATH000003647,True,False,False
PATH000003692,True,False,False
PATH000003679,True,False,False
PATH000003837,True,False,False
PATH000003669,True,False,False
PATH000003770,True,False,False
PATH000003629,True,False,False
PATH000004061,True,False,False
PATH000004791,True,False,False
PATH000003653,True,False,False
PATH000003731,True,False,False
PATH000004140,True,False,False
PATH000003622,True,False,False
PATH000003845,True,False,False
PATH000004057,True,False,False
PATH000004184,True,False,False
PATH000004026,True,False,False
PATH000004128,True,False,False
PATH000003912,True,False,False
PATH000004475,True,False,False
PATH000004068,True,False,False
PATH000004077,True,False,False
PATH000004727,True,False,False
PATH000004787,True,False,False
PATH000004762,True,False,False
PATH000004663,True,False,False
PATH000004504,True,False,False
PATH000004644,True,False,False
PATH000004656,True,False,False
PATH000004981,True,False,False
PATH000004593,True,False,False
PATH000005466,True,False,False
PATH000005401,True,False,False
PATH000005354,True,False,False
PATH000007106,True,False,False
PATH000005423,True,False,False
PATH000007240,True,False,False
PATH000007796,True,False,False
PATH000008028,True,False,False
PATH000007363,True,False,False
PATH000008070,True,False,False
PATH000007646,True,False,False
PATH000008335,True,False,False
PATH000007977,True,False,False
PATH000009445,True,False,False
PATH000010000,True,False,False
PATH000008172,True,False,False
PATH000009582,True,False,False
PATH000011735,True,False,False
PATH000011849,True,False,False
PATH000011730,True,False,False
PATH000003831,True,False,False
PATH000003691,True,False,False
PATH000003760,True,False,False
PATH000003810,True,False,False
PATH000003668,True,False,False
PATH000004189,True,False,False
PATH000004006,True,False,False
PATH000004119,True,False,False
PATH000003645,True,False,False
PATH000003621,True,False,False
PATH000003646,True,False,False
PATH000003678,True,False,False
PATH000003704,True,False,False
PATH000003710,True,False,False
PATH000003989,True,False,False
PATH000004154,True,False,False
PATH000003693,True,False,False
PATH000003756,True,False,False
PATH000003638,True,False,False
PATH000003637,True,False,False
PATH000003815,True,False,False
PATH000003714,True,False,False
PATH000003737,True,False,False
PATH000003826,True,False,False
PATH000003703,True,False,False
PATH000003818,True,False,False
PATH000003851,True,False,False
PATH000004136,True,False,False
PATH000003968,True,False,False
PATH000004167,True,False,False
PATH000003975,True,False,False
PATH000004094,True,False,False
PATH000004092,True,False,False
PATH000004104,True,False,False
PATH000004497,True,False,False
PATH000004857,True,False,False
PATH000004286,True,False,False
PATH000004851,True,False,False
PATH000004488,True,False,False
PATH000004409,True,False,False
PATH000004614,True,False,False
PATH000004750,True,False,False
PATH000004910,True,False,False
PATH000007944,True,False,False
PATH000004878,True,False,False
PATH000004485,True,False,False
PATH000005448,True,False,False
PATH000005305,True,False,False
PATH000007670,True,False,False
PATH000007671,True,False,False
PATH000007965,True,False,False
PATH000011784,True,False,False
PATH000011810,True,False,False
PATH000011766,True,False,False
PATH000011681,True,False,False
PATH000011861,True,False,False
PATH000011851,True,False,False
PATH000011729,True,False,False
PATH000011842,True,False,False
PATH000011846,True,False,False
PATH000011703,True,False,False
PATH000011807,True,False,False
PATH000004144,True,False,False
PATH000003717,True,False,False
PATH000004042,True,False,False
PATH000003904,True,False,False
PATH000003809,True,False,False
PATH000004176,True,False,False
PATH000003686,True,False,False
PATH000003787,True,False,False
PATH000003654,True,False,False
PATH000004072,True,False,False
PATH000004015,True,False,False
PATH000003914,True,False,False
PATH000004192,True,False,False
PATH000004200,True,False,False
PATH000003941,True,False,False
PATH000003966,True,False,False
PATH000004661,True,False,False
PATH000003898,True,False,False
PATH000004481,True,False,False
PATH000004967,True,False,False
PATH000004963,True,False,False
PATH000004534,True,False,False
PATH000004900,True,False,False
PATH000004344,True,False,False
PATH000005368,True,False,False
PATH000005454,True,False,False
PATH000005465,True,False,False
PATH000004989,True,False,False
PATH000005668,True,False,False
PATH000005565,True,False,False
PATH000006076,True,False,False
PATH000007474,True,False,False
PATH000008276,True,False,False
PATH000008387,True,False,False
PATH000003665,True,False,False
PATH000004165,True,False,False
PATH000003905,True,False,False
PATH000004146,True,False,False
PATH000004173,True,False,False
PATH000004733,True,False,False
PATH000004248,True,False,False
PATH000004827,True,False,False
PATH000004766,True,False,False
PATH000007062,True,False,False
PATH000004692,True,False,False
PATH000004257,True,False,False
PATH000004921,True,False,False
PATH000005234,True,False,False
PATH000005883,True,False,False
PATH000007760,True,False,False
PATH000007933,True,False,False
PATH000005289,True,False,False
PATH000007132,True,False,False
PATH000005107,True,False,False
PATH000005264,True,False,False
PATH000005276,True,False,False
PATH000007476,True,False,False
PATH000005070,True,False,False
PATH000005172,True,False,False
PATH000007910,True,False,False
PATH000007327,True,False,False
PATH000008068,True,False,False
PATH000007708,True,False,False
PATH000007894,True,False,False
PATH000007958,True,False,False
PATH000007606,True,False,False
PATH000007582,True,False,False
PATH000007939,True,False,False
PATH000009579,True,False,False
PATH000008165,True,False,False
PATH000004421,True,False,False
PATH000004852,True,False,False
PATH000004110,True,False,False
PATH000004773,True,False,False
PATH000005581,True,False,False
PATH000005754,True,False,False
PATH000005273,True,False,False
PATH000008285,True,False,False
PATH000005254,True,False,False
PATH000005132,True,False,False
PATH000005669,True,False,False
PATH000005966,True,False,False
PATH000006008,True,False,False
PATH000007126,True,False,False
PATH000007119,True,False,False
PATH000007159,True,False,False
PATH000007115,True,False,False
PATH000007540,True,False,False
PATH000007350,True,False,False
PATH000004729,True,False,False
PATH000004058,True,False,False
PATH000004073,True,False,False
PATH000003964,True,False,False
PATH000004070,True,False,False
PATH000003987,True,False,False
PATH000004314,True,False,False
PATH000004081,True,False,False
PATH000004191,True,False,False
PATH000003930,True,False,False
PATH000004056,True,False,False
PATH000003962,True,False,False
PATH000004604,True,False,False
PATH000004974,True,False,False
PATH000004458,True,False,False
PATH000004315,True,False,False
PATH000004520,True,False,False
PATH000005557,True,False,False
PATH000005579,True,False,False
PATH000007266,True,False,False
PATH000005627,True,False,False
PATH000007058,True,False,False
PATH000007600,True,False,False
PATH000007463,True,False,False
PATH000008658,True,False,False
PATH000008693,True,False,False
PATH000009694,True,False,False
PATH000004113,True,False,False
PATH000004099,True,False,False
PATH000004178,True,False,False
PATH000003937,True,False,False
PATH000004054,True,False,False
PATH000004841,True,False,False
PATH000003901,True,False,False
PATH000003949,True,False,False
PATH000004562,True,False,False
PATH000004567,True,False,False
PATH000004701,True,False,False
PATH000004386,True,False,False
PATH000004455,True,False,False
PATH000004350,True,False,False
PATH000004978,True,False,False
PATH000005606,True,False,False
PATH000004946,True,False,False
PATH000005813,True,False,False
PATH000005419,True,False,False
PATH000005663,True,False,False
PATH000005478,True,False,False
PATH000005576,True,False,False
PATH000005886,True,False,False
PATH000007260,True,False,False
PATH000007706,True,False,False
PATH000004612,True,False,False
PATH000004162,True,False,False
PATH000004168,True,False,False
PATH000003929,True,False,False
PATH000004940,True,False,False
PATH000004700,True,False,False
PATH000004834,True,False,False
PATH000004511,True,False,False
PATH000004836,True,False,False
PATH000004519,True,False,False
PATH000004609,True,False,False
PATH000007756,True,False,False
PATH000004825,True,False,False
PATH000004558,True,False,False
PATH000004468,True,False,False
PATH000005397,True,False,False
PATH000005435,True,False,False
PATH000004936,True,False,False
PATH000004473,True,False,False
PATH000004412,True,False,False
PATH000005283,True,False,False
PATH000005974,True,False,False
PATH000007747,True,False,False
PATH000007386,True,False,False
PATH000007403,True,False,False
PATH000007625,True,False,False
PATH000004899,True,False,False
PATH000004590,True,False,False
PATH000005674,True,False,False
PATH000005443,True,False,False
PATH000005125,True,False,False
PATH000005317,True,False,False
PATH000007532,True,False,False
PATH000007786,True,False,False
PATH000007990,True,False,False
PATH000008035,True,False,False
PATH000008352,True,False,False
PATH000009515,True,False,False
PATH000005108,True,False,False
PATH000005461,True,False,False
PATH000004856,True,False,False
PATH000004953,True,False,False
PATH000004887,True,False,False
PATH000004859,True,False,False
PATH000004637,True,False,False
PATH000004617,True,False,False
PATH000004618,True,False,False
PATH000004398,True,False,False
PATH000004274,True,False,False
PATH000004574,True,False,False
PATH000003961,True,False,False
PATH000004024,True,False,False
PATH000004525,True,False,False
PATH000004870,True,False,False
PATH000004304,True,False,False
PATH000004970,True,False,False
PATH000004938,True,False,False
PATH000005080,True,False,False
PATH000007236,True,False,False
PATH000007238,True,False,False
PATH000008102,True,False,False
PATH000005418,True,False,False
PATH000005136,True,False,False
PATH000005391,True,False,False
PATH000005601,True,False,False
PATH000005693,True,False,False
PATH000005120,True,False,False
PATH000005278,True,False,False
PATH000007677,True,False,False
PATH000007173,True,False,False
PATH000007411,True,False,False
PATH000007253,True,False,False
PATH000007367,True,False,False
PATH000007479,True,False,False
PATH000007535,True,False,False
PATH000008652,True,False,False
PATH000000052,True,False,False
PATH000000049,True,False,False
PATH000000061,True,False,False
PATH000000046,True,False,False
PATH000000047,True,False,False
PATH000000039,True,False,False
PATH000000115,True,False,False
PATH000000123,True,False,False
PATH000000899,True,False,False
PATH000000438,True,False,False
PATH000002724,True,False,False
PATH000005046,True,False,False
PATH000005615,True,False,False
PATH000005137,True,False,False
PATH000006382,True,False,False
PATH000008635,True,False,False
PATH000008438,True,False,False
PATH000006716,True,False,False
PATH000006747,True,False,False
PATH000008691,True,False,False
PATH000006617,True,False,False
PATH000006309,True,False,False
PATH000006470,True,False,False
PATH000006347,True,False,False
PATH000006237,True,False,False
PATH000012001,True,False,False
PATH000013631,True,False,False
PATH000012412,True,False,False
PATH000006462,True,False,False
PATH000006243,True,False,False
PATH000008663,True,False,False
PATH000006125,True,False,False
PATH000006627,True,False,False
PATH000007147,True,False,False
PATH000006663,True,False,False
PATH000008630,True,False,False
PATH000006810,True,False,False
PATH000008258,True,False,False
PATH000006423,True,False,False
PATH000006787,True,False,False
PATH000006312,True,False,False
PATH000008173,True,False,False
PATH000007792,True,False,False
PATH000006503,True,False,False
PATH000006644,True,False,False
PATH000013642,True,False,False
PATH000006453,True,False,False
PATH000008081,True,False,False
PATH000006518,True,False,False
PATH000006180,True,False,False
PATH000006230,True,False,False
PATH000006396,True,False,False
PATH000006170,True,False,False
PATH000006509,True,False,False
PATH000008338,True,False,False
PATH000006468,True,False,False
PATH000006360,True,False,False
PATH000008439,True,False,False
PATH000006166,True,False,False
PATH000006719,True,False,False
PATH000006113,True,False,False
PATH000006580,True,False,False
PATH000006670,True,False,False
PATH000006656,True,False,False
PATH000006546,True,False,False
PATH000008751,True,False,False
PATH000006377,True,False,False
PATH000007799,True,False,False
PATH000006415,True,False,False
PATH000008344,True,False,False
PATH000006639,True,False,False
PATH000006587,True,False,False
PATH000007932,True,False,False
PATH000006692,True,False,False
PATH000006214,True,False,False
PATH000006530,True,False,False
PATH000006762,True,False,False
PATH000008169,True,False,False
PATH000006460,True,False,False
PATH000006598,True,False,False
PATH000006430,True,False,False
PATH000006513,True,False,False
PATH000006611,True,False,False
PATH000006609,True,False,False
PATH000006341,True,False,False
PATH000006545,True,False,False
PATH000006459,True,False,False
PATH000008087,True,False,False
PATH000006397,True,False,False
PATH000006287,True,False,False
PATH000006802,True,False,False
PATH000008725,True,False,False
PATH000008291,True,False,False
PATH000008286,True,False,False
PATH000007636,True,False,False
PATH000008095,True,False,False
PATH000008617,True,False,False
PATH000008018,True,False,False
PATH000008569,True,False,False
PATH000006185,True,False,False
PATH000008159,True,False,False
PATH000008304,True,False,False
PATH000006502,True,False,False
PATH000006735,True,False,False
PATH000008647,True,False,False
PATH000008579,True,False,False
PATH000008077,True,False,False
PATH000008877,True,False,False
PATH000011915,True,False,False
PATH000008259,True,False,False
PATH000008462,True,False,False
PATH000007204,True,False,False
PATH000007054,True,False,False
PATH000008229,True,False,False
PATH000008289,True,False,False
PATH000008810,True,False,False
PATH000008241,True,False,False
PATH000008591,True,False,False
PATH000008686,True,False,False
PATH000007615,True,False,False
PATH000006398,True,False,False
PATH000007149,True,False,False
PATH000007227,True,False,False
PATH000008260,True,False,False
PATH000007263,True,False,False
PATH000007887,True,False,False
PATH000007225,True,False,False
PATH000008736,True,False,False
PATH000007935,True,False,False
PATH000008837,True,False,False
PATH000007112,True,False,False
PATH000008390,True,False,False
PATH000008418,True,False,False
PATH000008669,True,False,False
PATH000007262,True,False,False
