,train,val,test
0,PATH000009745,PATH000005980,PATH000002596
1,PATH000009462,PATH000008710,PATH000003494
2,PATH000009604,PATH000001834,PATH000004835
3,PATH000009441,PATH000002992,PATH000003552
4,PATH000009523,PATH000004968,PATH000001582
5,PATH000009835,PATH000001581,PATH000005288
6,PATH000009880,PATH000003260,PATH000005890
7,PATH000009442,PATH000009102,PATH000009188
8,PATH000009506,PATH000006296,PATH000002989
9,PATH000009933,PATH000002891,PATH000006168
10,PATH000009456,PATH000003584,PATH000007287
11,PATH000009945,PATH000005924,PATH000001596
12,PATH000009979,PATH000007121,PATH000003157
13,PATH000009881,PATH000009982,PATH000009197
14,PATH000009807,PATH000009198,PATH000001757
15,PATH000009446,PATH000002880,PATH000008365
16,PATH000009572,PATH000004768,PATH000005938
17,PATH000009883,PATH000006195,PATH000008921
18,PATH000009717,PATH000006849,PATH000008162
19,PATH000009871,PATH000003071,PATH000009774
20,PATH000009528,PATH000001601,PATH000009204
21,PATH000009518,PATH000009943,PATH000002669
22,PATH000009457,PATH000001769,PATH000009262
23,PATH000009697,PATH000002897,PATH000003608
24,PATH000009940,PATH000009273,PATH000004496
25,PATH000009837,PATH000006707,PATH000003557
26,PATH000009449,PATH000009213,PATH000003239
27,PATH000009779,PATH000009967,PATH000006271
28,PATH000009520,PATH000009134,PATH000004228
29,PATH000009942,PATH000003470,PATH000003458
30,PATH000009614,PATH000003513,PATH000009226
31,PATH000009482,PATH000009848,PATH000003202
32,PATH000009844,PATH000005673,PATH000003279
33,PATH000009944,PATH000009319,PATH000008673
34,PATH000009503,PATH000002759,PATH000003282
35,PATH000009861,PATH000003272,PATH000006887
36,PATH000009772,PATH000003639,PATH000008977
37,PATH000009934,PATH000009588,PATH000001820
38,PATH000009463,PATH000009002,PATH000006475
39,PATH000009987,PATH000008384,PATH000009023
40,PATH000009780,PATH000006492,PATH000005955
41,PATH000009447,PATH000009058,PATH000009225
42,PATH000009381,PATH000003861,PATH000004582
43,PATH000009858,PATH000006391,PATH000012592
44,PATH000009461,PATH000001830,PATH000009860
45,PATH000009980,PATH000005220,PATH000008367
46,PATH000009552,PATH000003505,PATH000001485
47,PATH000009573,PATH000006082,PATH000001429
48,PATH000009974,PATH000001744,PATH000006817
49,PATH000009636,PATH000001631,PATH000009954
50,PATH000009633,PATH000003223,PATH000005455
51,PATH000009679,PATH000001923,PATH000008959
52,PATH000009676,PATH000005030,PATH000006196
53,PATH000009932,PATH000009662,PATH000002976
54,PATH000009760,PATH000008930,PATH000008813
55,PATH000009666,PATH000005518,PATH000001528
56,PATH000009702,PATH000003538,PATH000002014
57,PATH000009971,PATH000002947,PATH000004236
58,PATH000009725,PATH000002820,PATH000004003
59,PATH000009657,PATH000008895,PATH000005835
60,PATH000009948,PATH000005139,PATH000002827
61,PATH000009693,PATH000009207,PATH000003194
62,PATH000009488,PATH000005994,PATH000003292
63,PATH000009654,PATH000003764,PATH000002767
64,PATH000009560,PATH000007007,PATH000006825
65,PATH000009800,PATH000009489,PATH000002955
66,PATH000009414,PATH000005641,PATH000006443
67,PATH000009502,PATH000008257,PATH000006955
68,PATH000009732,PATH000004278,PATH000008373
69,PATH000009419,PATH000012772,PATH000003043
70,PATH000009775,PATH000009105,PATH000004886
71,PATH000009367,PATH000009813,PATH000003453
72,PATH000009862,PATH000008985,PATH000009246
73,PATH000009366,PATH000009570,PATH000002864
74,PATH000004389,PATH000008086,PATH000007079
75,PATH000004861,PATH000005154,PATH000003766
76,PATH000004879,PATH000004238,PATH000005547
77,PATH000009375,PATH000006496,PATH000003390
78,PATH000009797,PATH000001470,PATH000009440
79,PATH000009897,PATH000004280,PATH000005344
80,PATH000004435,PATH000003514,PATH000005096
81,PATH000004298,PATH000006522,PATH000001479
82,PATH000004917,PATH000008567,PATH000005249
83,PATH000004662,PATH000005856,PATH000005256
84,PATH000004499,PATH000002710,PATH000006001
85,PATH000004631,PATH000001973,PATH000001508
86,PATH000004674,PATH000009305,PATH000009410
87,PATH000004527,PATH000005945,PATH000006942
88,PATH000004711,PATH000009263,PATH000003046
89,PATH000004778,PATH000003301,PATH000003752
90,PATH000004638,PATH000003142,PATH000006860
91,PATH000004749,PATH000005965,PATH000009894
92,PATH000004954,PATH000003885,PATH000004226
93,PATH000004305,PATH000009178,PATH000009104
94,PATH000004796,PATH000006092,PATH000001625
95,PATH000004867,PATH000001623,PATH000005432
96,PATH000004463,PATH000009144,PATH000005690
97,PATH000004258,PATH000004089,PATH000004221
98,PATH000004288,PATH000005907,PATH000003475
99,PATH000004915,PATH000008908,PATH000003371
100,PATH000004417,PATH000005785,PATH000009595
101,PATH000004253,PATH000006146,PATH000003909
102,PATH000004332,PATH000008497,PATH000006903
103,PATH000004806,PATH000003503,PATH000009186
104,PATH000009547,PATH000008727,PATH000006926
105,PATH000009953,PATH000003133,PATH000002009
106,PATH000009908,PATH000003939,PATH000009412
107,PATH000009616,PATH000001716,PATH000008984
108,PATH000009632,PATH000005058,PATH000009156
109,PATH000009623,PATH000006991,PATH000008798
110,PATH000009990,PATH000004523,PATH000006345
111,PATH000009939,PATH000006330,PATH000006791
112,PATH000009670,PATH000005109,PATH000008917
113,PATH000009781,PATH000004752,PATH000006182
114,PATH000009549,PATH000006584,PATH000003617
115,PATH000009721,PATH000009224,PATH000008380
116,PATH000009453,PATH000001990,PATH000007891
117,PATH000004518,PATH000002885,PATH000008576
118,PATH000004716,PATH000008772,PATH000006137
119,PATH000004922,PATH000008476,PATH000001433
120,PATH000004328,PATH000006339,PATH000007911
121,PATH000009902,PATH000008836,PATH000008429
122,PATH000009427,PATH000009364,PATH000007501
123,PATH000009610,PATH000001439,PATH000003825
124,PATH000009740,PATH000004649,PATH000009432
125,PATH000009533,PATH000001768,PATH000007290
126,PATH000009699,PATH000003528,PATH000004833
127,PATH000009571,PATH000005508,PATH000004312
128,PATH000009951,PATH000008054,PATH000008420
