,train,val,test
PATH000009745,True,False,False
PATH000009462,True,False,False
PATH000009604,True,False,False
PATH000009441,True,False,False
PATH000009523,True,False,False
PATH000009835,True,False,False
PATH000009880,True,False,False
PATH000009442,True,False,False
PATH000009506,True,False,False
PATH000009933,True,False,False
PATH000009456,True,False,False
PATH000009945,True,False,False
PATH000009979,True,False,False
PATH000009881,True,False,False
PATH000009807,True,False,False
PATH000009446,True,False,False
PATH000009572,True,False,False
PATH000009883,True,False,False
PATH000009717,True,False,False
PATH000009871,True,False,False
PATH000009528,True,False,False
PATH000009518,True,False,False
PATH000009457,True,False,False
PATH000009697,True,False,False
PATH000009940,True,False,False
PATH000009837,True,False,False
PATH000009449,True,False,False
PATH000009779,True,False,False
PATH000009520,True,False,False
PATH000009942,True,False,False
PATH000009614,True,False,False
PATH000009482,True,False,False
PATH000009844,True,False,False
PATH000009944,True,False,False
PATH000009503,True,False,False
PATH000009861,True,False,False
PATH000009772,True,False,False
PATH000009934,True,False,False
PATH000009463,True,False,False
PATH000009987,True,False,False
PATH000009780,True,False,False
PATH000009447,True,False,False
PATH000009381,True,False,False
PATH000009858,True,False,False
PATH000009461,True,False,False
PATH000009980,True,False,False
PATH000009552,True,False,False
PATH000009573,True,False,False
PATH000009974,True,False,False
PATH000009636,True,False,False
PATH000009633,True,False,False
PATH000009679,True,False,False
PATH000009676,True,False,False
PATH000009932,True,False,False
PATH000009760,True,False,False
PATH000009666,True,False,False
PATH000009702,True,False,False
PATH000009971,True,False,False
PATH000009725,True,False,False
PATH000009657,True,False,False
PATH000009948,True,False,False
PATH000009693,True,False,False
PATH000009488,True,False,False
PATH000009654,True,False,False
PATH000009560,True,False,False
PATH000009800,True,False,False
PATH000009414,True,False,False
PATH000009502,True,False,False
PATH000009732,True,False,False
PATH000009419,True,False,False
PATH000009775,True,False,False
PATH000009367,True,False,False
PATH000009862,True,False,False
PATH000009366,True,False,False
PATH000004389,True,False,False
PATH000004861,True,False,False
PATH000004879,True,False,False
PATH000009375,True,False,False
PATH000009797,True,False,False
PATH000009897,True,False,False
PATH000004435,True,False,False
PATH000004298,True,False,False
PATH000004917,True,False,False
PATH000004662,True,False,False
PATH000004499,True,False,False
PATH000004631,True,False,False
PATH000004674,True,False,False
PATH000004527,True,False,False
PATH000004711,True,False,False
PATH000004778,True,False,False
PATH000004638,True,False,False
PATH000004749,True,False,False
PATH000004954,True,False,False
PATH000004305,True,False,False
PATH000004796,True,False,False
PATH000004867,True,False,False
PATH000004463,True,False,False
PATH000004258,True,False,False
PATH000004288,True,False,False
PATH000004915,True,False,False
PATH000004417,True,False,False
PATH000004253,True,False,False
PATH000004332,True,False,False
PATH000004806,True,False,False
PATH000009547,True,False,False
PATH000009953,True,False,False
PATH000009908,True,False,False
PATH000009616,True,False,False
PATH000009632,True,False,False
PATH000009623,True,False,False
PATH000009990,True,False,False
PATH000009939,True,False,False
PATH000009670,True,False,False
PATH000009781,True,False,False
PATH000009549,True,False,False
PATH000009721,True,False,False
PATH000009453,True,False,False
PATH000004518,True,False,False
PATH000004716,True,False,False
PATH000004922,True,False,False
PATH000004328,True,False,False
PATH000009902,True,False,False
PATH000009427,True,False,False
PATH000009610,True,False,False
PATH000009740,True,False,False
PATH000009533,True,False,False
PATH000009699,True,False,False
PATH000009571,True,False,False
PATH000009951,True,False,False
PATH000009465,True,False,False
PATH000009947,True,False,False
PATH000009729,True,False,False
PATH000009827,True,False,False
PATH000009459,True,False,False
PATH000009845,True,False,False
PATH000009922,True,False,False
PATH000009689,True,False,False
PATH000009832,True,False,False
PATH000009575,True,False,False
PATH000009565,True,False,False
PATH000009846,True,False,False
PATH000009532,True,False,False
PATH000009792,True,False,False
PATH000009507,True,False,False
PATH000009492,True,False,False
PATH000009763,True,False,False
PATH000002608,True,False,False
PATH000002999,True,False,False
PATH000003080,True,False,False
PATH000002689,True,False,False
PATH000007570,True,False,False
PATH000002696,True,False,False
PATH000002802,True,False,False
PATH000002824,True,False,False
PATH000001550,True,False,False
PATH000002663,True,False,False
PATH000007430,True,False,False
PATH000002896,True,False,False
PATH000001732,True,False,False
PATH000002798,True,False,False
PATH000007471,True,False,False
PATH000008036,True,False,False
PATH000001733,True,False,False
PATH000002904,True,False,False
PATH000002777,True,False,False
PATH000007739,True,False,False
PATH000007994,True,False,False
PATH000002877,True,False,False
PATH000001561,True,False,False
PATH000002600,True,False,False
PATH000003049,True,False,False
PATH000001747,True,False,False
PATH000002578,True,False,False
PATH000001711,True,False,False
PATH000001730,True,False,False
PATH000001721,True,False,False
PATH000001678,True,False,False
PATH000006822,True,False,False
PATH000003112,True,False,False
PATH000003869,True,False,False
PATH000007661,True,False,False
PATH000007880,True,False,False
PATH000001745,True,False,False
PATH000001698,True,False,False
PATH000001669,True,False,False
PATH000004032,True,False,False
PATH000001719,True,False,False
PATH000001537,True,False,False
PATH000001545,True,False,False
PATH000001723,True,False,False
PATH000007864,True,False,False
PATH000007943,True,False,False
PATH000002946,True,False,False
PATH000001748,True,False,False
PATH000001702,True,False,False
PATH000003116,True,False,False
PATH000002881,True,False,False
PATH000001755,True,False,False
PATH000002956,True,False,False
PATH000002811,True,False,False
PATH000001687,True,False,False
PATH000001675,True,False,False
PATH000001743,True,False,False
PATH000008970,True,False,False
PATH000009076,True,False,False
PATH000004208,True,False,False
PATH000004213,True,False,False
PATH000004214,True,False,False
PATH000008949,True,False,False
PATH000004219,True,False,False
PATH000009028,True,False,False
PATH000004223,True,False,False
PATH000004207,True,False,False
PATH000004212,True,False,False
PATH000008926,True,False,False
PATH000008937,True,False,False
PATH000004220,True,False,False
PATH000009068,True,False,False
PATH000009270,True,False,False
PATH000004218,True,False,False
PATH000009044,True,False,False
PATH000009220,True,False,False
PATH000009158,True,False,False
PATH000009181,True,False,False
PATH000009009,True,False,False
PATH000009054,True,False,False
PATH000009206,True,False,False
PATH000004235,True,False,False
PATH000004242,True,False,False
PATH000005986,True,False,False
PATH000006052,True,False,False
PATH000008976,True,False,False
PATH000008986,True,False,False
PATH000008920,True,False,False
PATH000009115,True,False,False
PATH000009258,True,False,False
PATH000009070,True,False,False
PATH000009033,True,False,False
PATH000009179,True,False,False
PATH000009163,True,False,False
PATH000009057,True,False,False
PATH000009229,True,False,False
PATH000009249,True,False,False
PATH000009080,True,False,False
PATH000004241,True,False,False
PATH000009255,True,False,False
PATH000009165,True,False,False
PATH000009125,True,False,False
PATH000009228,True,False,False
PATH000009172,True,False,False
PATH000009082,True,False,False
PATH000009164,True,False,False
PATH000009211,True,False,False
PATH000008885,True,False,False
PATH000008929,True,False,False
PATH000008993,True,False,False
PATH000008884,True,False,False
PATH000009093,True,False,False
PATH000009139,True,False,False
PATH000008903,True,False,False
PATH000009154,True,False,False
PATH000009010,True,False,False
PATH000009147,True,False,False
PATH000008987,True,False,False
PATH000008972,True,False,False
PATH000009221,True,False,False
PATH000009074,True,False,False
PATH000009142,True,False,False
PATH000004233,True,False,False
PATH000009086,True,False,False
PATH000009231,True,False,False
PATH000008953,True,False,False
PATH000009131,True,False,False
PATH000008910,True,False,False
PATH000008957,True,False,False
PATH000009085,True,False,False
PATH000009109,True,False,False
PATH000009026,True,False,False
PATH000009042,True,False,False
PATH000009267,True,False,False
PATH000009234,True,False,False
PATH000009003,True,False,False
PATH000009004,True,False,False
PATH000009092,True,False,False
PATH000009013,True,False,False
PATH000009214,True,False,False
PATH000009069,True,False,False
PATH000009148,True,False,False
PATH000008994,True,False,False
PATH000009043,True,False,False
PATH000009184,True,False,False
PATH000009180,True,False,False
PATH000009149,True,False,False
PATH000009152,True,False,False
PATH000008898,True,False,False
PATH000008891,True,False,False
PATH000009018,True,False,False
PATH000009106,True,False,False
PATH000009130,True,False,False
PATH000008935,True,False,False
PATH000009247,True,False,False
PATH000008975,True,False,False
PATH000009253,True,False,False
PATH000009271,True,False,False
PATH000008997,True,False,False
PATH000009274,True,False,False
PATH000009020,True,False,False
PATH000009190,True,False,False
PATH000008989,True,False,False
PATH000009133,True,False,False
PATH000009039,True,False,False
PATH000009256,True,False,False
PATH000009275,True,False,False
PATH000009145,True,False,False
PATH000008905,True,False,False
PATH000009081,True,False,False
PATH000009187,True,False,False
PATH000008914,True,False,False
PATH000009110,True,False,False
PATH000008923,True,False,False
PATH000008952,True,False,False
PATH000008883,True,False,False
PATH000009061,True,False,False
PATH000009257,True,False,False
PATH000009037,True,False,False
PATH000009007,True,False,False
PATH000009264,True,False,False
PATH000008889,True,False,False
PATH000009107,True,False,False
PATH000009191,True,False,False
PATH000008911,True,False,False
PATH000009233,True,False,False
PATH000009265,True,False,False
PATH000009025,True,False,False
PATH000009021,True,False,False
PATH000009161,True,False,False
PATH000009129,True,False,False
PATH000009030,True,False,False
PATH000009071,True,False,False
PATH000008888,True,False,False
PATH000009012,True,False,False
PATH000009072,True,False,False
PATH000009269,True,False,False
PATH000009176,True,False,False
PATH000008999,True,False,False
PATH000009268,True,False,False
PATH000009272,True,False,False
PATH000008933,True,False,False
PATH000009248,True,False,False
PATH000008919,True,False,False
PATH000008912,True,False,False
PATH000008916,True,False,False
PATH000009251,True,False,False
PATH000008925,True,False,False
PATH000009236,True,False,False
PATH000008924,True,False,False
PATH000009101,True,False,False
PATH000009073,True,False,False
PATH000008931,True,False,False
PATH000009250,True,False,False
PATH000009199,True,False,False
PATH000008940,True,False,False
PATH000009022,True,False,False
PATH000008897,True,False,False
PATH000008981,True,False,False
PATH000009059,True,False,False
PATH000008887,True,False,False
PATH000008942,True,False,False
PATH000009077,True,False,False
PATH000009153,True,False,False
PATH000009090,True,False,False
PATH000008896,True,False,False
PATH000009027,True,False,False
PATH000009193,True,False,False
PATH000009097,True,False,False
PATH000009138,True,False,False
PATH000009136,True,False,False
PATH000009243,True,False,False
PATH000009024,True,False,False
PATH000008902,True,False,False
PATH000008878,True,False,False
PATH000009114,True,False,False
PATH000009084,True,False,False
PATH000009008,True,False,False
PATH000008947,True,False,False
PATH000009096,True,False,False
PATH000008948,True,False,False
PATH000009182,True,False,False
PATH000009230,True,False,False
PATH000008900,True,False,False
PATH000009259,True,False,False
PATH000008998,True,False,False
PATH000009223,True,False,False
PATH000008996,True,False,False
PATH000009053,True,False,False
PATH000008954,True,False,False
PATH000009175,True,False,False
PATH000009146,True,False,False
PATH000009113,True,False,False
PATH000008963,True,False,False
PATH000009119,True,False,False
PATH000003121,True,False,False
PATH000003192,True,False,False
PATH000003136,True,False,False
PATH000002602,True,False,False
PATH000002667,True,False,False
PATH000002987,True,False,False
PATH000002995,True,False,False
PATH000002930,True,False,False
PATH000002833,True,False,False
PATH000002924,True,False,False
PATH000003203,True,False,False
PATH000003247,True,False,False
PATH000002841,True,False,False
PATH000003090,True,False,False
PATH000004686,True,False,False
PATH000004736,True,False,False
PATH000003246,True,False,False
PATH000003033,True,False,False
PATH000003102,True,False,False
PATH000002879,True,False,False
PATH000002998,True,False,False
PATH000002610,True,False,False
PATH000002629,True,False,False
PATH000002604,True,False,False
PATH000002970,True,False,False
PATH000002671,True,False,False
PATH000003040,True,False,False
PATH000003093,True,False,False
PATH000002674,True,False,False
PATH000002951,True,False,False
PATH000002582,True,False,False
PATH000002981,True,False,False
PATH000002577,True,False,False
PATH000003244,True,False,False
PATH000003169,True,False,False
PATH000002804,True,False,False
PATH000003072,True,False,False
PATH000002621,True,False,False
PATH000003024,True,False,False
PATH000002716,True,False,False
PATH000002978,True,False,False
PATH000003230,True,False,False
PATH000002817,True,False,False
PATH000002834,True,False,False
PATH000002840,True,False,False
PATH000002769,True,False,False
PATH000002911,True,False,False
PATH000004636,True,False,False
PATH000004728,True,False,False
PATH000002736,True,False,False
PATH000002857,True,False,False
PATH000002939,True,False,False
PATH000002627,True,False,False
PATH000002731,True,False,False
PATH000002730,True,False,False
PATH000002755,True,False,False
PATH000002883,True,False,False
PATH000003215,True,False,False
PATH000003248,True,False,False
PATH000003139,True,False,False
PATH000002806,True,False,False
PATH000002717,True,False,False
PATH000002865,True,False,False
PATH000002876,True,False,False
PATH000003134,True,False,False
PATH000003044,True,False,False
PATH000002694,True,False,False
PATH000002874,True,False,False
PATH000003028,True,False,False
PATH000002644,True,False,False
PATH000002950,True,False,False
PATH000003131,True,False,False
PATH000003098,True,False,False
PATH000002692,True,False,False
PATH000003129,True,False,False
PATH000003196,True,False,False
PATH000002662,True,False,False
PATH000003210,True,False,False
PATH000003122,True,False,False
PATH000003013,True,False,False
PATH000003152,True,False,False
PATH000002921,True,False,False
PATH000002655,True,False,False
PATH000003155,True,False,False
PATH000002886,True,False,False
PATH000002983,True,False,False
PATH000003241,True,False,False
PATH000002752,True,False,False
PATH000002729,True,False,False
PATH000002635,True,False,False
PATH000003003,True,False,False
PATH000002814,True,False,False
PATH000008677,True,False,False
PATH000003140,True,False,False
PATH000002851,True,False,False
PATH000002961,True,False,False
PATH000003053,True,False,False
PATH000003064,True,False,False
PATH000008840,True,False,False
PATH000008457,True,False,False
PATH000008574,True,False,False
PATH000008454,True,False,False
PATH000008612,True,False,False
PATH000008852,True,False,False
PATH000008722,True,False,False
PATH000008688,True,False,False
PATH000008672,True,False,False
PATH000008664,True,False,False
PATH000008845,True,False,False
PATH000008488,True,False,False
PATH000008671,True,False,False
PATH000008593,True,False,False
PATH000008477,True,False,False
PATH000008624,True,False,False
PATH000008703,True,False,False
PATH000008604,True,False,False
PATH000008860,True,False,False
PATH000008690,True,False,False
PATH000008874,True,False,False
PATH000008815,True,False,False
PATH000008582,True,False,False
PATH000008788,True,False,False
PATH000008801,True,False,False
PATH000008844,True,False,False
PATH000009287,True,False,False
PATH000009342,True,False,False
PATH000009311,True,False,False
PATH000009297,True,False,False
PATH000009336,True,False,False
PATH000009344,True,False,False
PATH000009285,True,False,False
PATH000009288,True,False,False
PATH000009326,True,False,False
PATH000009294,True,False,False
PATH000009359,True,False,False
PATH000009295,True,False,False
PATH000009348,True,False,False
PATH000009339,True,False,False
PATH000009331,True,False,False
PATH000009292,True,False,False
PATH000009301,True,False,False
PATH000009937,True,False,False
PATH000009965,True,False,False
PATH000009513,True,False,False
PATH000009849,True,False,False
PATH000009645,True,False,False
PATH000009692,True,False,False
PATH000009658,True,False,False
PATH000009476,True,False,False
PATH000009638,True,False,False
PATH000008482,True,False,False
PATH000009730,True,False,False
PATH000009785,True,False,False
PATH000009674,True,False,False
PATH000009986,True,False,False
PATH000009416,True,False,False
PATH000009836,True,False,False
PATH000002764,True,False,False
PATH000003035,True,False,False
PATH000002652,True,False,False
PATH000004327,True,False,False
PATH000003061,True,False,False
PATH000004840,True,False,False
PATH000004905,True,False,False
PATH000004282,True,False,False
PATH000004958,True,False,False
PATH000004759,True,False,False
PATH000004828,True,False,False
PATH000004394,True,False,False
PATH000002782,True,False,False
PATH000002890,True,False,False
PATH000003079,True,False,False
PATH000002770,True,False,False
PATH000002927,True,False,False
PATH000002719,True,False,False
PATH000003249,True,False,False
PATH000002659,True,False,False
PATH000002680,True,False,False
PATH000003151,True,False,False
PATH000003238,True,False,False
PATH000003165,True,False,False
PATH000003174,True,False,False
PATH000002902,True,False,False
PATH000008614,True,False,False
PATH000008650,True,False,False
PATH000008666,True,False,False
PATH000008578,True,False,False
PATH000008682,True,False,False
PATH000008661,True,False,False
PATH000008478,True,False,False
PATH000008750,True,False,False
PATH000008468,True,False,False
PATH000008640,True,False,False
PATH000008689,True,False,False
PATH000008809,True,False,False
PATH000008830,True,False,False
PATH000008498,True,False,False
PATH000008493,True,False,False
PATH000009417,True,False,False
PATH000009644,True,False,False
PATH000009626,True,False,False
PATH000009652,True,False,False
PATH000009669,True,False,False
PATH000009473,True,False,False
PATH000009782,True,False,False
PATH000009812,True,False,False
PATH000009439,True,False,False
PATH000009443,True,False,False
PATH000009766,True,False,False
PATH000013611,True,False,False
PATH000012685,True,False,False
PATH000013651,True,False,False
PATH000005016,True,False,False
PATH000005731,True,False,False
PATH000001928,True,False,False
PATH000001964,True,False,False
PATH000001939,True,False,False
PATH000001953,True,False,False
PATH000001952,True,False,False
PATH000001954,True,False,False
PATH000001930,True,False,False
PATH000005286,True,False,False
PATH000005844,True,False,False
PATH000005929,True,False,False
PATH000006890,True,False,False
PATH000006920,True,False,False
PATH000005271,True,False,False
PATH000001932,True,False,False
PATH000001852,True,False,False
PATH000001890,True,False,False
PATH000001832,True,False,False
PATH000001892,True,False,False
PATH000001905,True,False,False
PATH000001969,True,False,False
PATH000001978,True,False,False
PATH000005183,True,False,False
PATH000005848,True,False,False
PATH000005013,True,False,False
PATH000005202,True,False,False
PATH000012431,True,False,False
PATH000001486,True,False,False
PATH000001499,True,False,False
PATH000001505,True,False,False
PATH000001511,True,False,False
PATH000001835,True,False,False
PATH000001898,True,False,False
PATH000006909,True,False,False
PATH000001850,True,False,False
PATH000001888,True,False,False
PATH000001473,True,False,False
PATH000001979,True,False,False
PATH000001991,True,False,False
PATH000001480,True,False,False
PATH000001492,True,False,False
PATH000001487,True,False,False
PATH000006916,True,False,False
PATH000006957,True,False,False
PATH000011896,True,False,False
PATH000005634,True,False,False
PATH000005534,True,False,False
PATH000005849,True,False,False
PATH000002005,True,False,False
PATH000005664,True,False,False
PATH000005113,True,False,False
PATH000005424,True,False,False
PATH000005103,True,False,False
PATH000005572,True,False,False
PATH000005610,True,False,False
PATH000012408,True,False,False
PATH000001929,True,False,False
PATH000005285,True,False,False
PATH000005304,True,False,False
PATH000006850,True,False,False
PATH000001841,True,False,False
PATH000001916,True,False,False
PATH000001451,True,False,False
PATH000001464,True,False,False
PATH000001877,True,False,False
PATH000001902,True,False,False
PATH000001853,True,False,False
PATH000001886,True,False,False
PATH000001885,True,False,False
PATH000001909,True,False,False
PATH000006829,True,False,False
PATH000006962,True,False,False
PATH000002008,True,False,False
