,train,val,test
0,PATH000009462,PATH000008098,PATH000009616
1,PATH000009604,PATH000000104,PATH000009632
2,PATH000009441,PATH000000126,PATH000007700
3,PATH000009442,PATH000001628,PATH000002921
4,PATH000009506,PATH000001649,PATH000000698
5,PATH000009881,PATH000005771,PATH000000447
6,PATH000009807,PATH000000254,PATH000000456
7,PATH000009446,PATH000002752,PATH000007430
8,PATH000009572,PATH000009057,PATH000008977
9,PATH000009883,PATH000009273,PATH000009191
10,PATH000009595,PATH000002667,PATH000013746
11,PATH000009528,PATH000001633,PATH000006232
12,PATH000009518,PATH000001644,PATH000006573
13,PATH000009457,PATH000009077,PATH000002782
14,PATH000009697,PATH000009204,PATH000001113
15,PATH000009940,PATH000008380,PATH000012143
16,PATH000009837,PATH000006912,PATH000000532
17,PATH000009449,PATH000006990,PATH000003299
18,PATH000009779,PATH000008336,PATH000003494
19,PATH000009520,PATH000008347,PATH000002904
20,PATH000009942,PATH000002694,PATH000000601
21,PATH000009614,PATH000003513,PATH000009979
22,PATH000009482,PATH000006501,PATH000003469
23,PATH000009944,PATH000005798,PATH000000001
24,PATH000009503,PATH000000106,PATH000000006
25,PATH000009861,PATH000000770,PATH000000140
26,PATH000009772,PATH000009165,PATH000006221
27,PATH000009934,PATH000008997,PATH000000067
28,PATH000009447,PATH000009274,PATH000012133
29,PATH000009381,PATH000000634,PATH000001876
30,PATH000009412,PATH000012079,PATH000001919
31,PATH000009858,PATH000012268,PATH000006579
32,PATH000009943,PATH000001134,PATH000001171
33,PATH000009967,PATH000001160,PATH000001185
34,PATH000009461,PATH000012765,PATH000001112
35,PATH000009980,PATH000000066,PATH000000103
36,PATH000009552,PATH000000789,PATH000011617
37,PATH000009573,PATH000006860,PATH000011621
38,PATH000009974,PATH000006909,PATH000000596
39,PATH000009636,PATH000001841,PATH000008149
40,PATH000009633,PATH000001916,PATH000008365
41,PATH000009813,PATH000009725,PATH000006684
42,PATH000009679,PATH000000631,PATH000006161
43,PATH000009676,PATH000000639,PATH000003410
44,PATH000009932,PATH000000674,PATH000003533
45,PATH000009760,PATH000005909,PATH000009147
46,PATH000009666,PATH000003709,PATH000009224
47,PATH000009702,PATH000003719,PATH000000127
48,PATH000009971,PATH000001615,PATH000009871
49,PATH000010003,PATH000001638,PATH000008888
50,PATH000009488,PATH000012697,PATH000009012
51,PATH000009654,PATH000012779,PATH000000679
52,PATH000009560,PATH000005673,PATH000001498
53,PATH000009440,PATH000008690,PATH000001508
54,PATH000009502,PATH000008874,PATH000012063
55,PATH000009732,PATH000009845,PATH000000710
56,PATH000009419,PATH000000085,PATH000000723
57,PATH000009775,PATH000009255,PATH000000724
58,PATH000009367,PATH000000529,PATH000001003
59,PATH000009862,PATH000001609,PATH000001015
60,PATH000009366,PATH000001632,PATH000006345
61,PATH000009375,PATH000006809,PATH000001367
62,PATH000009797,PATH000000929,PATH000001383
63,PATH000009897,PATH000000965,PATH000012397
64,PATH000004768,PATH000000738,PATH000009693
65,PATH000004435,PATH000000754,PATH000009085
66,PATH000004662,PATH000000761,PATH000009109
67,PATH000004499,PATH000006944,PATH000007003
68,PATH000004631,PATH000001267,PATH000012548
69,PATH000004674,PATH000001300,PATH000008667
