,train,val,test
PATH000009462,True,False,False
PATH000009604,True,False,False
PATH000009441,True,False,False
PATH000009442,True,False,False
PATH000009506,True,False,False
PATH000009881,True,False,False
PATH000009807,True,False,False
PATH000009446,True,False,False
PATH000009572,True,False,False
PATH000009883,True,False,False
PATH000009595,True,False,False
PATH000009528,True,False,False
PATH000009518,True,False,False
PATH000009457,True,False,False
PATH000009697,True,False,False
PATH000009940,True,False,False
PATH000009837,True,False,False
PATH000009449,True,False,False
PATH000009779,True,False,False
PATH000009520,True,False,False
PATH000009942,True,False,False
PATH000009614,True,False,False
PATH000009482,True,False,False
PATH000009944,True,False,False
PATH000009503,True,False,False
PATH000009861,True,False,False
PATH000009772,True,False,False
PATH000009934,True,False,False
PATH000009447,True,False,False
PATH000009381,True,False,False
PATH000009412,True,False,False
PATH000009858,True,False,False
PATH000009943,True,False,False
PATH000009967,True,False,False
PATH000009461,True,False,False
PATH000009980,True,False,False
PATH000009552,True,False,False
PATH000009573,True,False,False
PATH000009974,True,False,False
PATH000009636,True,False,False
PATH000009633,True,False,False
PATH000009813,True,False,False
PATH000009679,True,False,False
PATH000009676,True,False,False
PATH000009932,True,False,False
PATH000009760,True,False,False
PATH000009666,True,False,False
PATH000009702,True,False,False
PATH000009971,True,False,False
PATH000010003,True,False,False
PATH000009488,True,False,False
PATH000009654,True,False,False
PATH000009560,True,False,False
PATH000009440,True,False,False
PATH000009502,True,False,False
PATH000009732,True,False,False
PATH000009419,True,False,False
PATH000009775,True,False,False
PATH000009367,True,False,False
PATH000009862,True,False,False
PATH000009366,True,False,False
PATH000009375,True,False,False
PATH000009797,True,False,False
PATH000009897,True,False,False
PATH000004768,True,False,False
PATH000004435,True,False,False
PATH000004662,True,False,False
PATH000004499,True,False,False
PATH000004631,True,False,False
PATH000004674,True,False,False
PATH000004527,True,False,False
PATH000004711,True,False,False
PATH000004835,True,False,False
PATH000004638,True,False,False
PATH000004749,True,False,False
PATH000004305,True,False,False
PATH000004867,True,False,False
PATH000004582,True,False,False
PATH000004280,True,False,False
PATH000004463,True,False,False
PATH000004752,True,False,False
PATH000004915,True,False,False
PATH000004417,True,False,False
PATH000004253,True,False,False
PATH000004332,True,False,False
PATH000009547,True,False,False
PATH000010005,True,False,False
PATH000009848,True,False,False
PATH000009908,True,False,False
PATH000009623,True,False,False
PATH000009990,True,False,False
PATH000009939,True,False,False
PATH000009670,True,False,False
PATH000009781,True,False,False
PATH000009453,True,False,False
PATH000004518,True,False,False
PATH000004716,True,False,False
PATH000004922,True,False,False
PATH000004328,True,False,False
PATH000010007,True,False,False
PATH000009902,True,False,False
PATH000009427,True,False,False
PATH000009610,True,False,False
PATH000009465,True,False,False
PATH000009410,True,False,False
PATH000009565,True,False,False
PATH000009846,True,False,False
PATH000009532,True,False,False
PATH000009774,True,False,False
PATH000009792,True,False,False
PATH000009507,True,False,False
PATH000009570,True,False,False
PATH000009492,True,False,False
PATH000009763,True,False,False
PATH000000646,True,False,False
PATH000000659,True,False,False
PATH000000633,True,False,False
PATH000000672,True,False,False
PATH000000656,True,False,False
PATH000000647,True,False,False
PATH000000605,True,False,False
PATH000000653,True,False,False
PATH000012102,True,False,False
PATH000012301,True,False,False
PATH000012366,True,False,False
PATH000000664,True,False,False
PATH000000635,True,False,False
