,train,val,test
0,PATH000009605,PATH000006243,PATH000005273
1,PATH000009895,PATH000001187,PATH000005754
2,PATH000009866,PATH000003940,PATH000006453
3,PATH000009949,PATH000008894,PATH000009475
4,PATH000009819,PATH000008938,PATH000006396
5,PATH000009448,PATH000013631,PATH000003899
6,PATH000009703,PATH000008385,PATH000004000
7,PATH000009816,PATH000004248,PATH000004124
8,PATH000009695,PATH000006008,PATH000004776
9,PATH000009686,PATH000009155,PATH000009514
10,PATH000009901,PATH000009232,PATH000006489
11,PATH000009379,PATH000008018,PATH000005234
12,PATH000000642,PATH000008207,PATH000005289
13,PATH000003173,PATH000003804,PATH000005347
14,PATH000001684,PATH000004416,PATH000005883
15,PATH000000665,PATH000004500,PATH000007760
16,PATH000000690,PATH000006719,PATH000007933
17,PATH000000747,PATH000003831,PATH000006167
18,PATH000000700,PATH000011849,PATH000009869
19,PATH000000713,PATH000009829,PATH000009734
20,PATH000003190,PATH000003693,PATH000003781
21,PATH000012766,PATH000003756,PATH000000613
22,PATH000002642,PATH000006462,PATH000009098
23,PATH000002828,PATH000001564,PATH000009140
24,PATH000003004,PATH000004936,PATH000006762
25,PATH000002623,PATH000005397,PATH000004821
26,PATH000001700,PATH000005435,PATH000003941
27,PATH000001350,PATH000004878,PATH000003966
28,PATH000001552,PATH000004147,PATH000006214
29,PATH000002909,PATH000004325,PATH000012072
30,PATH000001536,PATH000004688,PATH000002957
31,PATH000004044,PATH000004068,PATH000008636
32,PATH000003926,PATH000004077,PATH000006692
33,PATH000003186,PATH000004115,PATH000006116
34,PATH000000737,PATH000004727,PATH000006585
35,PATH000000673,PATH000000046,PATH000009041
36,PATH000002852,PATH000008248,PATH000004344
37,PATH000004025,PATH000003645,PATH000006530
38,PATH000000612,PATH000004006,PATH000006663
39,PATH000003228,PATH000004119,PATH000008686
40,PATH000000768,PATH000007786,PATH000008095
41,PATH000000684,PATH000007990,PATH000012644
42,PATH000000722,PATH000006075,PATH000009741
43,PATH000000692,PATH000006587,PATH000009853
44,PATH000000751,PATH000011713,PATH000004414
45,PATH000000224,PATH000011800,PATH000006430
46,PATH000008893,PATH000005966,PATH000004857
