,train,val,test
PATH000009605,True,False,False
PATH000009895,True,False,False
PATH000009866,True,False,False
PATH000009949,True,False,False
PATH000009819,True,False,False
PATH000009448,True,False,False
PATH000009703,True,False,False
PATH000009816,True,False,False
PATH000009695,True,False,False
PATH000009686,True,False,False
PATH000009901,True,False,False
PATH000009379,True,False,False
PATH000000642,True,False,False
PATH000003173,True,False,False
PATH000001684,True,False,False
PATH000000665,True,False,False
PATH000000690,True,False,False
PATH000000747,True,False,False
PATH000000700,True,False,False
PATH000000713,True,False,False
PATH000003190,True,False,False
PATH000012766,True,False,False
PATH000002642,True,False,False
PATH000002828,True,False,False
PATH000003004,True,False,False
PATH000002623,True,False,False
PATH000001700,True,False,False
PATH000001350,True,False,False
PATH000001552,True,False,False
PATH000002909,True,False,False
PATH000001536,True,False,False
PATH000004044,True,False,False
PATH000003926,True,False,False
PATH000003186,True,False,False
PATH000000737,True,False,False
PATH000000673,True,False,False
PATH000002852,True,False,False
PATH000004025,True,False,False
PATH000000612,True,False,False
PATH000003228,True,False,False
PATH000000768,True,False,False
PATH000000684,True,False,False
PATH000000722,True,False,False
PATH000000692,True,False,False
PATH000000751,True,False,False
PATH000000224,True,False,False
PATH000008893,True,False,False
PATH000009241,True,False,False
PATH000009120,True,False,False
PATH000000367,True,False,False
PATH000009005,True,False,False
PATH000009055,True,False,False
PATH000009060,True,False,False
PATH000009066,True,False,False
PATH000000363,True,False,False
PATH000000394,True,False,False
PATH000002683,True,False,False
PATH000002875,True,False,False
PATH000002637,True,False,False
PATH000003009,True,False,False
PATH000002648,True,False,False
PATH000002687,True,False,False
PATH000003078,True,False,False
PATH000002660,True,False,False
PATH000003081,True,False,False
PATH000003205,True,False,False
PATH000003206,True,False,False
PATH000002826,True,False,False
PATH000003187,True,False,False
PATH000002753,True,False,False
PATH000002634,True,False,False
PATH000003188,True,False,False
PATH000002586,True,False,False
PATH000004474,True,False,False
PATH000003020,True,False,False
PATH000002805,True,False,False
PATH000002734,True,False,False
PATH000009851,True,False,False
PATH000002810,True,False,False
PATH000008491,True,False,False
PATH000008613,True,False,False
PATH000008655,True,False,False
PATH000009815,True,False,False
PATH000013605,True,False,False
PATH000012769,True,False,False
PATH000012604,True,False,False
PATH000012104,True,False,False
PATH000000585,True,False,False
PATH000012400,True,False,False
PATH000000586,True,False,False
PATH000012256,True,False,False
PATH000001989,True,False,False
PATH000002000,True,False,False
PATH000012264,True,False,False
PATH000000998,True,False,False
PATH000001007,True,False,False
PATH000000593,True,False,False
PATH000013527,True,False,False
PATH000001946,True,False,False
PATH000001955,True,False,False
PATH000012148,True,False,False
PATH000011574,True,False,False
PATH000005166,True,False,False
PATH000005702,True,False,False
PATH000005008,True,False,False
PATH000011575,True,False,False
PATH000005765,True,False,False
PATH000012250,True,False,False
PATH000005587,True,False,False
PATH000005649,True,False,False
PATH000005214,True,False,False
PATH000005646,True,False,False
PATH000005541,True,False,False
PATH000005558,True,False,False
PATH000005024,True,False,False
PATH000005280,True,False,False
PATH000005583,True,False,False
PATH000005626,True,False,False
PATH000012758,True,False,False
PATH000005226,True,False,False
PATH000005793,True,False,False
PATH000011651,True,False,False
PATH000000591,True,False,False
PATH000005594,True,False,False
PATH000005889,True,False,False
PATH000005512,True,False,False
PATH000005823,True,False,False
PATH000005343,True,False,False
PATH000005832,True,False,False
PATH000001330,True,False,False
PATH000001356,True,False,False
PATH000005020,True,False,False
PATH000011534,True,False,False
PATH000001998,True,False,False
PATH000002003,True,False,False
PATH000005815,True,False,False
PATH000005895,True,False,False
PATH000001975,True,False,False
PATH000003924,True,False,False
PATH000003991,True,False,False
PATH000003979,True,False,False
PATH000004095,True,False,False
PATH000004106,True,False,False
PATH000004121,True,False,False
PATH000004261,True,False,False
PATH000004508,True,False,False
PATH000004863,True,False,False
PATH000004911,True,False,False
PATH000003916,True,False,False
PATH000003956,True,False,False
PATH000004318,True,False,False
PATH000004779,True,False,False
PATH000004795,True,False,False
PATH000004930,True,False,False
PATH000003933,True,False,False
PATH000004062,True,False,False
PATH000004177,True,False,False
PATH000003660,True,False,False
PATH000003848,True,False,False
PATH000003955,True,False,False
PATH000004030,True,False,False
PATH000003844,True,False,False
PATH000004085,True,False,False
PATH000004088,True,False,False
PATH000004017,True,False,False
PATH000004163,True,False,False
PATH000004175,True,False,False
PATH000003729,True,False,False
PATH000003762,True,False,False
PATH000003784,True,False,False
PATH000004122,True,False,False
PATH000004874,True,False,False
PATH000004647,True,False,False
PATH000004323,True,False,False
PATH000004885,True,False,False
PATH000004340,True,False,False
PATH000004942,True,False,False
PATH000004307,True,False,False
PATH000004403,True,False,False
PATH000004745,True,False,False
PATH000007793,True,False,False
PATH000005374,True,False,False
PATH000007198,True,False,False
PATH000007437,True,False,False
PATH000007851,True,False,False
PATH000008461,True,False,False
PATH000011694,True,False,False
PATH000003910,True,False,False
PATH000004100,True,False,False
PATH000003682,True,False,False
PATH000003763,True,False,False
PATH000003684,True,False,False
PATH000003723,True,False,False
PATH000003911,True,False,False
PATH000004013,True,False,False
PATH000004190,True,False,False
PATH000003647,True,False,False
PATH000003692,True,False,False
PATH000003669,True,False,False
PATH000003679,True,False,False
PATH000003770,True,False,False
PATH000003629,True,False,False
PATH000003653,True,False,False
PATH000003731,True,False,False
PATH000003943,True,False,False
PATH000004061,True,False,False
PATH000004791,True,False,False
PATH000004494,True,False,False
PATH000004405,True,False,False
PATH000004787,True,False,False
PATH000004656,True,False,False
PATH000004981,True,False,False
PATH000004593,True,False,False
PATH000005466,True,False,False
PATH000005354,True,False,False
PATH000007363,True,False,False
PATH000007796,True,False,False
PATH000008028,True,False,False
PATH000008070,True,False,False
PATH000007977,True,False,False
PATH000009445,True,False,False
PATH000010000,True,False,False
PATH000009582,True,False,False
PATH000003668,True,False,False
PATH000003691,True,False,False
PATH000003760,True,False,False
PATH000003810,True,False,False
PATH000004189,True,False,False
PATH000003621,True,False,False
PATH000003646,True,False,False
PATH000003678,True,False,False
PATH000003638,True,False,False
PATH000003975,True,False,False
PATH000004094,True,False,False
PATH000004136,True,False,False
PATH000004104,True,False,False
PATH000004286,True,False,False
PATH000004851,True,False,False
PATH000004488,True,False,False
PATH000004624,True,False,False
PATH000004699,True,False,False
PATH000004409,True,False,False
PATH000004614,True,False,False
PATH000007944,True,False,False
PATH000004485,True,False,False
PATH000005448,True,False,False
PATH000005305,True,False,False
PATH000005631,True,False,False
PATH000007670,True,False,False
PATH000007965,True,False,False
PATH000011681,True,False,False
PATH000011861,True,False,False
PATH000011770,True,False,False
PATH000004072,True,False,False
PATH000003914,True,False,False
PATH000004015,True,False,False
PATH000004192,True,False,False
PATH000004200,True,False,False
PATH000003898,True,False,False
PATH000004967,True,False,False
PATH000004534,True,False,False
PATH000004900,True,False,False
PATH000005454,True,False,False
PATH000007324,True,False,False
PATH000007474,True,False,False
PATH000008276,True,False,False
PATH000003906,True,False,False
PATH000003905,True,False,False
PATH000004146,True,False,False
PATH000004173,True,False,False
PATH000004733,True,False,False
PATH000004827,True,False,False
PATH000004766,True,False,False
PATH000007062,True,False,False
PATH000005195,True,False,False
PATH000005686,True,False,False
PATH000005276,True,False,False
PATH000005070,True,False,False
PATH000005172,True,False,False
PATH000007476,True,False,False
PATH000007910,True,False,False
PATH000007708,True,False,False
PATH000007983,True,False,False
PATH000008044,True,False,False
PATH000007582,True,False,False
PATH000008431,True,False,False
PATH000009875,True,False,False
PATH000004421,True,False,False
PATH000004852,True,False,False
PATH000004110,True,False,False
PATH000004773,True,False,False
PATH000008285,True,False,False
PATH000005254,True,False,False
PATH000005132,True,False,False
PATH000005669,True,False,False
PATH000006014,True,False,False
PATH000007117,True,False,False
PATH000007158,True,False,False
PATH000007115,True,False,False
PATH000007350,True,False,False
PATH000007373,True,False,False
PATH000007499,True,False,False
PATH000007540,True,False,False
PATH000004729,True,False,False
PATH000003964,True,False,False
PATH000003987,True,False,False
PATH000004070,True,False,False
PATH000004073,True,False,False
PATH000004314,True,False,False
PATH000003930,True,False,False
PATH000004056,True,False,False
PATH000004191,True,False,False
PATH000003962,True,False,False
PATH000004520,True,False,False
PATH000004808,True,False,False
PATH000005557,True,False,False
PATH000005579,True,False,False
PATH000005627,True,False,False
PATH000007266,True,False,False
PATH000007463,True,False,False
PATH000007711,True,False,False
PATH000004099,True,False,False
PATH000004113,True,False,False
PATH000004178,True,False,False
PATH000003937,True,False,False
PATH000004350,True,False,False
PATH000004386,True,False,False
PATH000004455,True,False,False
PATH000005606,True,False,False
PATH000005663,True,False,False
PATH000005478,True,False,False
PATH000005576,True,False,False
PATH000005886,True,False,False
PATH000007575,True,False,False
PATH000007706,True,False,False
PATH000004162,True,False,False
PATH000004168,True,False,False
PATH000004612,True,False,False
PATH000004331,True,False,False
PATH000004751,True,False,False
PATH000004511,True,False,False
PATH000004519,True,False,False
PATH000004609,True,False,False
PATH000004836,True,False,False
PATH000004825,True,False,False
PATH000004468,True,False,False
PATH000004655,True,False,False
PATH000004412,True,False,False
PATH000004473,True,False,False
PATH000005974,True,False,False
PATH000007386,True,False,False
PATH000007403,True,False,False
PATH000007625,True,False,False
PATH000004537,True,False,False
PATH000004899,True,False,False
PATH000005443,True,False,False
PATH000005749,True,False,False
PATH000005125,True,False,False
PATH000005317,True,False,False
PATH000008035,True,False,False
PATH000008352,True,False,False
PATH000009515,True,False,False
PATH000005872,True,False,False
PATH000005108,True,False,False
PATH000004637,True,False,False
PATH000004617,True,False,False
PATH000004274,True,False,False
PATH000004398,True,False,False
PATH000004938,True,False,False
PATH000005080,True,False,False
PATH000005136,True,False,False
PATH000005418,True,False,False
PATH000005278,True,False,False
PATH000005650,True,False,False
PATH000007677,True,False,False
PATH000007411,True,False,False
PATH000009516,True,False,False
PATH000000052,True,False,False
PATH000000049,True,False,False
PATH000000061,True,False,False
PATH000000047,True,False,False
PATH000000039,True,False,False
PATH000000899,True,False,False
PATH000005046,True,False,False
PATH000006382,True,False,False
PATH000008635,True,False,False
PATH000008438,True,False,False
PATH000006265,True,False,False
PATH000006716,True,False,False
PATH000006747,True,False,False
PATH000008691,True,False,False
PATH000006617,True,False,False
PATH000006309,True,False,False
PATH000006470,True,False,False
PATH000006347,True,False,False
PATH000006237,True,False,False
PATH000012001,True,False,False
PATH000006560,True,False,False
PATH000006256,True,False,False
PATH000012412,True,False,False
PATH000008663,True,False,False
PATH000013619,True,False,False
PATH000006125,True,False,False
PATH000006627,True,False,False
PATH000006340,True,False,False
PATH000007147,True,False,False
PATH000006810,True,False,False
PATH000008258,True,False,False
PATH000006423,True,False,False
PATH000006787,True,False,False
PATH000012632,True,False,False
PATH000006312,True,False,False
PATH000007792,True,False,False
PATH000006503,True,False,False
PATH000006644,True,False,False
PATH000013642,True,False,False
PATH000006583,True,False,False
PATH000008081,True,False,False
PATH000006518,True,False,False
PATH000006180,True,False,False
PATH000006230,True,False,False
PATH000008338,True,False,False
PATH000006468,True,False,False
PATH000006360,True,False,False
PATH000006231,True,False,False
PATH000008439,True,False,False
PATH000006166,True,False,False
PATH000006113,True,False,False
PATH000006580,True,False,False
PATH000008714,True,False,False
PATH000011982,True,False,False
PATH000006670,True,False,False
PATH000006656,True,False,False
PATH000006546,True,False,False
PATH000008751,True,False,False
PATH000006377,True,False,False
PATH000007799,True,False,False
PATH000006415,True,False,False
PATH000008344,True,False,False
PATH000006639,True,False,False
PATH000007932,True,False,False
PATH000006643,True,False,False
PATH000008169,True,False,False
PATH000006460,True,False,False
PATH000006598,True,False,False
PATH000006513,True,False,False
PATH000006213,True,False,False
PATH000006611,True,False,False
PATH000006609,True,False,False
PATH000006341,True,False,False
PATH000006545,True,False,False
PATH000013601,True,False,False
PATH000006459,True,False,False
PATH000006737,True,False,False
PATH000008087,True,False,False
PATH000006397,True,False,False
PATH000006287,True,False,False
PATH000006802,True,False,False
PATH000008725,True,False,False
PATH000008291,True,False,False
PATH000008286,True,False,False
PATH000007636,True,False,False
PATH000008617,True,False,False
PATH000008569,True,False,False
PATH000006185,True,False,False
PATH000008159,True,False,False
PATH000008304,True,False,False
PATH000006502,True,False,False
PATH000006735,True,False,False
PATH000008647,True,False,False
PATH000008179,True,False,False
PATH000008579,True,False,False
PATH000008077,True,False,False
PATH000008877,True,False,False
PATH000011915,True,False,False
PATH000008259,True,False,False
PATH000008462,True,False,False
PATH000007204,True,False,False
PATH000007054,True,False,False
PATH000008229,True,False,False
PATH000008289,True,False,False
PATH000008810,True,False,False
PATH000008591,True,False,False
PATH000007615,True,False,False
PATH000006398,True,False,False
PATH000007149,True,False,False
PATH000008260,True,False,False
PATH000007263,True,False,False
PATH000007887,True,False,False
PATH000007225,True,False,False
PATH000008736,True,False,False
PATH000007935,True,False,False
PATH000008837,True,False,False
PATH000007112,True,False,False
PATH000008390,True,False,False
PATH000008418,True,False,False
PATH000008669,True,False,False
PATH000007262,True,False,False
PATH000008428,True,False,False
PATH000008718,True,False,False
PATH000012028,True,False,False
PATH000008221,True,False,False
PATH000007889,True,False,False
PATH000008317,True,False,False
PATH000007209,True,False,False
PATH000007283,True,False,False
PATH000007100,True,False,False
PATH000008668,True,False,False
PATH000007179,True,False,False
PATH000008743,True,False,False
PATH000008697,True,False,False
PATH000008799,True,False,False
PATH000008653,True,False,False
PATH000008603,True,False,False
PATH000008759,True,False,False
PATH000009745,True,False,False
PATH000009462,True,False,False
PATH000009778,True,False,False
PATH000009441,True,False,False
PATH000009442,True,False,False
PATH000009506,True,False,False
PATH000009933,True,False,False
PATH000009479,True,False,False
PATH000009900,True,False,False
PATH000009881,True,False,False
PATH000009807,True,False,False
PATH000009927,True,False,False
PATH000009446,True,False,False
PATH000009572,True,False,False
PATH000009883,True,False,False
PATH000009717,True,False,False
PATH000009871,True,False,False
PATH000009524,True,False,False
PATH000009595,True,False,False
PATH000009528,True,False,False
PATH000009696,True,False,False
PATH000009518,True,False,False
PATH000009457,True,False,False
PATH000009697,True,False,False
PATH000009940,True,False,False
PATH000009837,True,False,False
PATH000009449,True,False,False
PATH000009779,True,False,False
PATH000009389,True,False,False
PATH000009520,True,False,False
PATH000009614,True,False,False
PATH000009482,True,False,False
PATH000009408,True,False,False
PATH000009844,True,False,False
PATH000009944,True,False,False
PATH000009503,True,False,False
PATH000009861,True,False,False
PATH000009463,True,False,False
PATH000009894,True,False,False
PATH000009839,True,False,False
PATH000009987,True,False,False
PATH000009780,True,False,False
PATH000009447,True,False,False
PATH000009452,True,False,False
PATH000009714,True,False,False
PATH000009858,True,False,False
PATH000009943,True,False,False
PATH000009857,True,False,False
PATH000009967,True,False,False
PATH000009461,True,False,False
PATH000009980,True,False,False
PATH000009432,True,False,False
PATH000009974,True,False,False
PATH000009382,True,False,False
PATH000009636,True,False,False
PATH000009633,True,False,False
PATH000009813,True,False,False
PATH000009368,True,False,False
PATH000009679,True,False,False
PATH000009676,True,False,False
PATH000009932,True,False,False
PATH000009760,True,False,False
PATH000009418,True,False,False
PATH000009678,True,False,False
PATH000009798,True,False,False
PATH000009976,True,False,False
PATH000009666,True,False,False
PATH000009702,True,False,False
PATH000009971,True,False,False
PATH000010003,True,False,False
PATH000009725,True,False,False
PATH000009538,True,False,False
PATH000009657,True,False,False
PATH000009948,True,False,False
PATH000009693,True,False,False
PATH000009654,True,False,False
PATH000009560,True,False,False
PATH000009756,True,False,False
PATH000009800,True,False,False
PATH000009414,True,False,False
PATH000009646,True,False,False
PATH000009440,True,False,False
PATH000009502,True,False,False
PATH000009673,True,False,False
PATH000009732,True,False,False
PATH000009419,True,False,False
PATH000009775,True,False,False
PATH000009367,True,False,False
PATH000009862,True,False,False
PATH000004389,True,False,False
PATH000004861,True,False,False
PATH000004879,True,False,False
PATH000009375,True,False,False
PATH000009797,True,False,False
PATH000009635,True,False,False
PATH000009897,True,False,False
PATH000004768,True,False,False
PATH000004255,True,False,False
PATH000004435,True,False,False
PATH000004833,True,False,False
PATH000004917,True,False,False
PATH000004370,True,False,False
PATH000004662,True,False,False
PATH000004780,True,False,False
PATH000004711,True,False,False
PATH000004778,True,False,False
PATH000004382,True,False,False
PATH000004305,True,False,False
PATH000004796,True,False,False
PATH000004280,True,False,False
PATH000004463,True,False,False
PATH000004258,True,False,False
PATH000004529,True,False,False
PATH000004752,True,False,False
PATH000004288,True,False,False
PATH000004417,True,False,False
PATH000004332,True,False,False
PATH000004806,True,False,False
PATH000009547,True,False,False
PATH000010005,True,False,False
PATH000009953,True,False,False
PATH000010001,True,False,False
PATH000009848,True,False,False
PATH000009691,True,False,False
PATH000009908,True,False,False
PATH000009616,True,False,False
PATH000009632,True,False,False
PATH000009623,True,False,False
PATH000009990,True,False,False
PATH000009583,True,False,False
PATH000009939,True,False,False
PATH000009670,True,False,False
PATH000009781,True,False,False
PATH000009549,True,False,False
PATH000009721,True,False,False
PATH000009453,True,False,False
PATH000004922,True,False,False
PATH000004328,True,False,False
PATH000010007,True,False,False
PATH000009469,True,False,False
PATH000009902,True,False,False
PATH000009427,True,False,False
PATH000009610,True,False,False
PATH000009519,True,False,False
PATH000009533,True,False,False
PATH000009699,True,False,False
PATH000009465,True,False,False
PATH000009639,True,False,False
PATH000009545,True,False,False
PATH000009847,True,False,False
PATH000009947,True,False,False
PATH000009729,True,False,False
PATH000009827,True,False,False
