,train,val,test
0,PATH000009745,PATH000001505,PATH000009763
1,PATH000009462,PATH000007986,PATH000001479
2,PATH000009778,PATH000009461,PATH000009932
3,PATH000009604,PATH000007156,PATH000009381
4,PATH000009441,PATH000006061,PATH000009925
5,PATH000009523,PATH000009764,PATH000001773
6,PATH000009880,PATH000005572,PATH000009489
7,PATH000009442,PATH000002767,PATH000002897
8,PATH000009506,PATH000009835,PATH000001451
9,PATH000009933,PATH000003276,PATH000008874
10,PATH000009479,PATH000009813,PATH000001931
11,PATH000009900,PATH000001806,PATH000008110
12,PATH000009456,PATH000008080,PATH000001842
13,PATH000009945,PATH000005724,PATH000001470
14,PATH000009979,PATH000002676,PATH000001480
15,PATH000009881,PATH000006931,PATH000002713
16,PATH000009572,PATH000009022,PATH000006471
17,PATH000009883,PATH000008664,PATH000008181
18,PATH000009717,PATH000006891,PATH000001436
19,PATH000009871,PATH000001971,PATH000006438
20,PATH000009595,PATH000001817,PATH000006277
21,PATH000009528,PATH000003292,PATH000002987
22,PATH000009518,PATH000002012,PATH000008478
23,PATH000009457,PATH000009807,PATH000009818
24,PATH000009697,PATH000005296,PATH000009359
25,PATH000009940,PATH000001902,PATH000002911
26,PATH000009837,PATH000009447,PATH000003719
27,PATH000009449,PATH000001980,PATH000008456
28,PATH000009779,PATH000007011,PATH000003792
29,PATH000009520,PATH000003651,PATH000003838
30,PATH000009942,PATH000005591,PATH000003754
31,PATH000009614,PATH000003116,PATH000006693
32,PATH000009482,PATH000001637,PATH000005094
33,PATH000009844,PATH000005059,PATH000001994
34,PATH000009944,PATH000005688,PATH000003802
35,PATH000009503,PATH000003261,PATH000003343
36,PATH000009861,PATH000001845,PATH000004565
37,PATH000009934,PATH000004840,PATH000003442
38,PATH000009463,PATH000001633,PATH000008884
39,PATH000009894,PATH000001586,PATH000005286
40,PATH000009839,PATH000006890,PATH000005256
41,PATH000009987,PATH000009311,PATH000001828
42,PATH000009780,PATH000001899,PATH000009285
43,PATH000009412,PATH000009180,PATH000008629
44,PATH000009452,PATH000004829,PATH000006323
45,PATH000009714,PATH000005058,PATH000001716
46,PATH000009858,PATH000004631,PATH000002919
47,PATH000009943,PATH000002004,PATH000005366
48,PATH000009857,PATH000005786,PATH000004135
49,PATH000009967,PATH000006263,PATH000008176
50,PATH000009980,PATH000008235,PATH000008154
51,PATH000009552,PATH000003295,PATH000008365
52,PATH000009573,PATH000004222,PATH000001504
53,PATH000009432,PATH000006645,PATH000005932
54,PATH000009974,PATH000002694,PATH000003064
55,PATH000009382,PATH000005664,PATH000003184
56,PATH000009636,PATH000004221,PATH000008708
57,PATH000009633,PATH000009146,PATH000003533
58,PATH000009679,PATH000006618,PATH000003072
59,PATH000009676,PATH000003642,PATH000006326
60,PATH000009760,PATH000004886,PATH000007127
61,PATH000009678,PATH000001832,PATH000006212
62,PATH000009798,PATH000002998,PATH000006285
63,PATH000009976,PATH000006202,PATH000003600
64,PATH000009666,PATH000005660,PATH000008476
65,PATH000009702,PATH000004608,PATH000008704
66,PATH000009971,PATH000003847,PATH000001605
67,PATH000009725,PATH000004370,PATH000003239
68,PATH000009538,PATH000006094,PATH000004298
69,PATH000009657,PATH000001824,PATH000008993
70,PATH000009948,PATH000003913,PATH000003728
71,PATH000009693,PATH000003140,PATH000001522
72,PATH000009488,PATH000009772,PATH000002950
73,PATH000009654,PATH000003568,PATH000009172
74,PATH000009560,PATH000009214,PATH000006568
75,PATH000009756,PATH000001844,PATH000004780
76,PATH000009800,PATH000002768,PATH000007546
77,PATH000009414,PATH000002009,PATH000008640
78,PATH000009440,PATH000001622,PATH000008852
79,PATH000009502,PATH000008898,PATH000008336
80,PATH000009732,PATH000005387,PATH000009670
81,PATH000009419,PATH000008244,PATH000003063
82,PATH000009775,PATH000003281,PATH000002884
83,PATH000009367,PATH000007521,PATH000001830
84,PATH000009862,PATH000008125,PATH000004861
85,PATH000009366,PATH000008482,PATH000006332
86,PATH000004389,PATH000007553,PATH000001747
87,PATH000004879,PATH000008885,PATH000008986
88,PATH000009375,PATH000001879,PATH000007695
89,PATH000009797,PATH000008975,PATH000009102
90,PATH000009897,PATH000001965,PATH000003927
91,PATH000004768,PATH000002955,PATH000005269
92,PATH000004255,PATH000005425,PATH000006653
93,PATH000004435,PATH000006210,PATH000009446
94,PATH000004833,PATH000009228,PATH000003607
95,PATH000004917,PATH000006320,PATH000013651
96,PATH000004499,PATH000008162,PATH000002577
97,PATH000004674,PATH000008368,PATH000002770
98,PATH000004527,PATH000003380,PATH000003155
99,PATH000004711,PATH000004662,PATH000002877
100,PATH000004835,PATH000006059,PATH000007188
101,PATH000004778,PATH000008597,PATH000004736
102,PATH000004382,PATH000006121,PATH000008131
103,PATH000004638,PATH000002879,PATH000009229
104,PATH000004749,PATH000002689,PATH000001484
105,PATH000004968,PATH000005069,PATH000001759
106,PATH000004954,PATH000006812,PATH000001831
107,PATH000004305,PATH000005980,PATH000006142
108,PATH000004796,PATH000004582,PATH000007710
109,PATH000004867,PATH000004925,PATH000005555
110,PATH000004280,PATH000004233,PATH000003079
111,PATH000004463,PATH000002730,PATH000005515
112,PATH000004258,PATH000001835,PATH000001795
113,PATH000004529,PATH000005127,PATH000003344
114,PATH000004752,PATH000008166,PATH000003157
115,PATH000004288,PATH000003289,PATH000008903
116,PATH000004915,PATH000002680,PATH000001439
117,PATH000004417,PATH000004117,PATH000009042
118,PATH000004253,PATH000008579,PATH000007327
119,PATH000004332,PATH000008285,PATH000004947
120,PATH000004806,PATH000007990,PATH000009809
121,PATH000009547,PATH000006382,PATH000005448
122,PATH000009953,PATH000004899,PATH000009741
123,PATH000009848,PATH000005512,PATH000004537
124,PATH000009908,PATH000009754,PATH000006470
125,PATH000009616,PATH000009445,PATH000009589
126,PATH000009632,PATH000004783,PATH000008428
127,PATH000009623,PATH000004128,PATH000004624
128,PATH000009990,PATH000005354,PATH000002734
129,PATH000009939,PATH000005214,PATH000003084
130,PATH000009781,PATH000005919,PATH000003912
131,PATH000009549,PATH000005921,PATH000003679
132,PATH000009721,PATH000007484,PATH000007559
133,PATH000009453,PATH000004834,PATH000005754
134,PATH000004518,PATH000003668,PATH000006802
135,PATH000004716,PATH000004743,PATH000004125
136,PATH000004922,PATH000004143,PATH000003955
137,PATH000004328,PATH000007932,PATH000007935
138,PATH000009902,PATH000005928,PATH000004750
139,PATH000009427,PATH000008304,PATH000002823
140,PATH000009610,PATH000003956,PATH000005608
141,PATH000009740,PATH000004618,PATH000004656
142,PATH000009519,PATH000005454,PATH000009098
143,PATH000009533,PATH000006396,PATH000003762
144,PATH000009699,PATH000003515,PATH000004525
145,PATH000009557,PATH000002690,PATH000001968
146,PATH000009571,PATH000005050,PATH000002888
147,PATH000009951,PATH000007151,PATH000004745
148,PATH000009465,PATH000004475,PATH000007475
149,PATH000009545,PATH000004059,PATH000012611
150,PATH000009947,PATH000005668,PATH000003770
151,PATH000009729,PATH000004350,PATH000008966
152,PATH000009827,PATH000002615,PATH000004970
153,PATH000009459,PATH000004479,PATH000009120
154,PATH000009845,PATH000009901,PATH000002816
155,PATH000009922,PATH000004036,PATH000004030
156,PATH000009689,PATH000008438,PATH000009511
157,PATH000009832,PATH000009840,PATH000005526
158,PATH000009410,PATH000003266,PATH000004163
159,PATH000004430,PATH000003240,PATH000008714
160,PATH000009575,PATH000004325,PATH000007054
161,PATH000009630,PATH000003179,PATH000007016
162,PATH000009565,PATH000001536,PATH000008636
163,PATH000009846,PATH000001482,PATH000006851
164,PATH000009532,PATH000009128,PATH000008136
165,PATH000009466,PATH000005168,PATH000006360
166,PATH000009876,PATH000001540,PATH000001989
167,PATH000009774,PATH000006530,PATH000006656
168,PATH000009792,PATH000004655,PATH000007198
169,PATH000009507,PATH000003055,PATH000003311
170,PATH000009570,PATH000003676,PATH000007870
171,PATH000009492,PATH000007002,PATH000001700
172,PATH000002608,PATH000012644,PATH000009089
173,PATH000002999,PATH000005419,PATH000006697
174,PATH000003080,PATH000009828,PATH000008028
175,PATH000007570,PATH000012417,PATH000004147
176,PATH000002696,PATH000009052,PATH000004719
177,PATH000002802,PATH000001894,PATH000003645
178,PATH000003202,PATH000008337,PATH000004296
179,PATH000002824,PATH000009673,PATH000003924
180,PATH000001550,PATH000001731,PATH000004070
181,PATH000007685,PATH000012480,PATH000002963
182,PATH000007738,PATH000009173,PATH000004331
183,PATH000003894,PATH000007887,PATH000004885
184,PATH000002663,PATH000003188,PATH000013527
185,PATH000007430,PATH000006587,PATH000007115
