,train,val,test
PATH000009745,True,False,False
PATH000009462,True,False,False
PATH000009778,True,False,False
PATH000009604,True,False,False
PATH000009441,True,False,False
PATH000009523,True,False,False
PATH000009880,True,False,False
PATH000009442,True,False,False
PATH000009506,True,False,False
PATH000009933,True,False,False
PATH000009479,True,False,False
PATH000009900,True,False,False
PATH000009456,True,False,False
PATH000009945,True,False,False
PATH000009979,True,False,False
PATH000009881,True,False,False
PATH000009572,True,False,False
PATH000009883,True,False,False
PATH000009717,True,False,False
PATH000009871,True,False,False
PATH000009595,True,False,False
PATH000009528,True,False,False
PATH000009518,True,False,False
PATH000009457,True,False,False
PATH000009697,True,False,False
PATH000009940,True,False,False
PATH000009837,True,False,False
PATH000009449,True,False,False
PATH000009779,True,False,False
PATH000009520,True,False,False
PATH000009942,True,False,False
PATH000009614,True,False,False
PATH000009482,True,False,False
PATH000009844,True,False,False
PATH000009944,True,False,False
PATH000009503,True,False,False
PATH000009861,True,False,False
PATH000009934,True,False,False
PATH000009463,True,False,False
PATH000009894,True,False,False
PATH000009839,True,False,False
PATH000009987,True,False,False
PATH000009780,True,False,False
PATH000009412,True,False,False
PATH000009452,True,False,False
PATH000009714,True,False,False
PATH000009858,True,False,False
PATH000009943,True,False,False
PATH000009857,True,False,False
PATH000009967,True,False,False
PATH000009980,True,False,False
PATH000009552,True,False,False
PATH000009573,True,False,False
PATH000009432,True,False,False
PATH000009974,True,False,False
PATH000009382,True,False,False
PATH000009636,True,False,False
PATH000009633,True,False,False
PATH000009679,True,False,False
PATH000009676,True,False,False
PATH000009760,True,False,False
PATH000009678,True,False,False
PATH000009798,True,False,False
PATH000009976,True,False,False
PATH000009666,True,False,False
PATH000009702,True,False,False
PATH000009971,True,False,False
PATH000009725,True,False,False
PATH000009538,True,False,False
PATH000009657,True,False,False
PATH000009948,True,False,False
PATH000009693,True,False,False
PATH000009488,True,False,False
PATH000009654,True,False,False
PATH000009560,True,False,False
PATH000009756,True,False,False
PATH000009800,True,False,False
PATH000009414,True,False,False
PATH000009440,True,False,False
PATH000009502,True,False,False
PATH000009732,True,False,False
PATH000009419,True,False,False
PATH000009775,True,False,False
PATH000009367,True,False,False
PATH000009862,True,False,False
PATH000009366,True,False,False
PATH000004389,True,False,False
PATH000004879,True,False,False
PATH000009375,True,False,False
PATH000009797,True,False,False
PATH000009897,True,False,False
PATH000004768,True,False,False
PATH000004255,True,False,False
PATH000004435,True,False,False
PATH000004833,True,False,False
PATH000004917,True,False,False
PATH000004499,True,False,False
PATH000004674,True,False,False
PATH000004527,True,False,False
PATH000004711,True,False,False
PATH000004835,True,False,False
PATH000004778,True,False,False
PATH000004382,True,False,False
PATH000004638,True,False,False
PATH000004749,True,False,False
PATH000004968,True,False,False
PATH000004954,True,False,False
PATH000004305,True,False,False
PATH000004796,True,False,False
PATH000004867,True,False,False
PATH000004280,True,False,False
PATH000004463,True,False,False
PATH000004258,True,False,False
PATH000004529,True,False,False
PATH000004752,True,False,False
PATH000004288,True,False,False
PATH000004915,True,False,False
PATH000004417,True,False,False
PATH000004253,True,False,False
PATH000004332,True,False,False
PATH000004806,True,False,False
PATH000009547,True,False,False
PATH000009953,True,False,False
PATH000009848,True,False,False
PATH000009908,True,False,False
PATH000009616,True,False,False
PATH000009632,True,False,False
PATH000009623,True,False,False
PATH000009990,True,False,False
PATH000009939,True,False,False
PATH000009781,True,False,False
PATH000009549,True,False,False
PATH000009721,True,False,False
PATH000009453,True,False,False
PATH000004518,True,False,False
PATH000004716,True,False,False
PATH000004922,True,False,False
PATH000004328,True,False,False
PATH000009902,True,False,False
PATH000009427,True,False,False
PATH000009610,True,False,False
PATH000009740,True,False,False
PATH000009519,True,False,False
PATH000009533,True,False,False
PATH000009699,True,False,False
PATH000009557,True,False,False
PATH000009571,True,False,False
PATH000009951,True,False,False
PATH000009465,True,False,False
PATH000009545,True,False,False
PATH000009947,True,False,False
PATH000009729,True,False,False
PATH000009827,True,False,False
PATH000009459,True,False,False
PATH000009845,True,False,False
PATH000009922,True,False,False
PATH000009689,True,False,False
PATH000009832,True,False,False
PATH000009410,True,False,False
PATH000004430,True,False,False
PATH000009575,True,False,False
PATH000009630,True,False,False
PATH000009565,True,False,False
PATH000009846,True,False,False
PATH000009532,True,False,False
PATH000009466,True,False,False
PATH000009876,True,False,False
PATH000009774,True,False,False
PATH000009792,True,False,False
PATH000009507,True,False,False
PATH000009570,True,False,False
PATH000009492,True,False,False
PATH000002608,True,False,False
PATH000002999,True,False,False
PATH000003080,True,False,False
PATH000007570,True,False,False
PATH000002696,True,False,False
PATH000002802,True,False,False
PATH000003202,True,False,False
PATH000002824,True,False,False
PATH000001550,True,False,False
PATH000007685,True,False,False
PATH000007738,True,False,False
PATH000003894,True,False,False
PATH000002663,True,False,False
PATH000007430,True,False,False
PATH000002896,True,False,False
PATH000001732,True,False,False
PATH000002860,True,False,False
PATH000003212,True,False,False
PATH000002798,True,False,False
PATH000006855,True,False,False
PATH000008023,True,False,False
PATH000007471,True,False,False
PATH000007577,True,False,False
PATH000007727,True,False,False
PATH000008036,True,False,False
PATH000001733,True,False,False
PATH000002904,True,False,False
PATH000002777,True,False,False
PATH000007739,True,False,False
PATH000007994,True,False,False
PATH000006066,True,False,False
PATH000008042,True,False,False
PATH000001561,True,False,False
PATH000001708,True,False,False
PATH000003160,True,False,False
PATH000002793,True,False,False
PATH000003861,True,False,False
PATH000002600,True,False,False
PATH000002684,True,False,False
PATH000003049,True,False,False
PATH000003885,True,False,False
PATH000001724,True,False,False
PATH000003216,True,False,False
PATH000003234,True,False,False
PATH000002578,True,False,False
PATH000001711,True,False,False
PATH000002786,True,False,False
PATH000002949,True,False,False
PATH000006825,True,False,False
PATH000001730,True,False,False
PATH000007835,True,False,False
PATH000001721,True,False,False
PATH000001678,True,False,False
PATH000006822,True,False,False
PATH000003112,True,False,False
PATH000003869,True,False,False
PATH000007661,True,False,False
PATH000007880,True,False,False
PATH000001745,True,False,False
PATH000001698,True,False,False
PATH000006011,True,False,False
PATH000003878,True,False,False
PATH000007763,True,False,False
PATH000007849,True,False,False
PATH000007930,True,False,False
PATH000002641,True,False,False
PATH000001669,True,False,False
PATH000004032,True,False,False
PATH000001719,True,False,False
PATH000001537,True,False,False
PATH000001545,True,False,False
PATH000001723,True,False,False
PATH000003036,True,False,False
PATH000007864,True,False,False
PATH000007891,True,False,False
PATH000007943,True,False,False
PATH000006041,True,False,False
PATH000002836,True,False,False
PATH000002946,True,False,False
PATH000001695,True,False,False
PATH000007699,True,False,False
PATH000001664,True,False,False
PATH000003895,True,False,False
PATH000001748,True,False,False
PATH000001709,True,False,False
PATH000001702,True,False,False
PATH000002881,True,False,False
PATH000002827,True,False,False
PATH000001703,True,False,False
PATH000001744,True,False,False
PATH000001755,True,False,False
PATH000002956,True,False,False
PATH000002811,True,False,False
PATH000007507,True,False,False
PATH000002597,True,False,False
PATH000001687,True,False,False
PATH000007627,True,False,False
PATH000007881,True,False,False
PATH000003183,True,False,False
PATH000008040,True,False,False
PATH000001675,True,False,False
PATH000001743,True,False,False
PATH000008895,True,False,False
PATH000008970,True,False,False
PATH000009023,True,False,False
PATH000009076,True,False,False
PATH000006016,True,False,False
PATH000006081,True,False,False
PATH000004208,True,False,False
PATH000004213,True,False,False
PATH000004214,True,False,False
PATH000004211,True,False,False
PATH000008949,True,False,False
PATH000004219,True,False,False
PATH000009028,True,False,False
PATH000004223,True,False,False
PATH000004207,True,False,False
PATH000004212,True,False,False
PATH000008926,True,False,False
PATH000008937,True,False,False
PATH000004210,True,False,False
PATH000004220,True,False,False
PATH000009068,True,False,False
PATH000009270,True,False,False
PATH000004218,True,False,False
PATH000009044,True,False,False
PATH000009220,True,False,False
PATH000009158,True,False,False
PATH000009181,True,False,False
PATH000009009,True,False,False
PATH000009054,True,False,False
PATH000004232,True,False,False
PATH000009206,True,False,False
PATH000004238,True,False,False
PATH000008973,True,False,False
PATH000009065,True,False,False
PATH000004235,True,False,False
PATH000004242,True,False,False
PATH000005986,True,False,False
PATH000006052,True,False,False
PATH000008976,True,False,False
PATH000008908,True,False,False
PATH000004239,True,False,False
PATH000008920,True,False,False
PATH000008930,True,False,False
PATH000009115,True,False,False
PATH000009258,True,False,False
PATH000009070,True,False,False
PATH000009033,True,False,False
PATH000009179,True,False,False
PATH000009108,True,False,False
PATH000009163,True,False,False
PATH000009057,True,False,False
PATH000009273,True,False,False
PATH000009249,True,False,False
PATH000009080,True,False,False
PATH000004241,True,False,False
PATH000009255,True,False,False
PATH000009165,True,False,False
PATH000009125,True,False,False
PATH000004226,True,False,False
PATH000004228,True,False,False
PATH000004234,True,False,False
PATH000009082,True,False,False
PATH000009164,True,False,False
PATH000009211,True,False,False
PATH000008929,True,False,False
PATH000009093,True,False,False
PATH000009139,True,False,False
PATH000009198,True,False,False
PATH000009154,True,False,False
PATH000004230,True,False,False
PATH000004236,True,False,False
PATH000009010,True,False,False
PATH000009213,True,False,False
PATH000009147,True,False,False
PATH000009224,True,False,False
PATH000008987,True,False,False
PATH000009197,True,False,False
PATH000008972,True,False,False
PATH000009221,True,False,False
PATH000009074,True,False,False
PATH000009142,True,False,False
PATH000009086,True,False,False
PATH000009227,True,False,False
PATH000009231,True,False,False
PATH000008953,True,False,False
PATH000009131,True,False,False
PATH000008910,True,False,False
PATH000008957,True,False,False
PATH000009085,True,False,False
PATH000009109,True,False,False
PATH000009026,True,False,False
PATH000009267,True,False,False
PATH000008984,True,False,False
PATH000009234,True,False,False
PATH000009003,True,False,False
PATH000009004,True,False,False
PATH000009092,True,False,False
PATH000009013,True,False,False
PATH000009069,True,False,False
PATH000009148,True,False,False
PATH000008994,True,False,False
PATH000009043,True,False,False
PATH000009184,True,False,False
PATH000009263,True,False,False
PATH000009149,True,False,False
PATH000009152,True,False,False
PATH000008891,True,False,False
PATH000009018,True,False,False
PATH000009106,True,False,False
PATH000009130,True,False,False
PATH000008935,True,False,False
PATH000009247,True,False,False
PATH000009253,True,False,False
PATH000009271,True,False,False
PATH000008997,True,False,False
PATH000009274,True,False,False
PATH000009020,True,False,False
PATH000009190,True,False,False
PATH000008989,True,False,False
PATH000009133,True,False,False
PATH000009039,True,False,False
PATH000009256,True,False,False
PATH000009275,True,False,False
PATH000009145,True,False,False
PATH000009151,True,False,False
PATH000008905,True,False,False
PATH000009081,True,False,False
PATH000009187,True,False,False
PATH000008914,True,False,False
PATH000009110,True,False,False
PATH000008923,True,False,False
PATH000008952,True,False,False
PATH000008985,True,False,False
PATH000008883,True,False,False
PATH000009061,True,False,False
PATH000009257,True,False,False
PATH000008964,True,False,False
PATH000009037,True,False,False
PATH000009007,True,False,False
PATH000009169,True,False,False
PATH000009105,True,False,False
PATH000009264,True,False,False
PATH000008889,True,False,False
PATH000009107,True,False,False
PATH000008977,True,False,False
PATH000009191,True,False,False
PATH000008911,True,False,False
PATH000009233,True,False,False
PATH000009265,True,False,False
PATH000009025,True,False,False
PATH000009058,True,False,False
PATH000009021,True,False,False
PATH000009262,True,False,False
PATH000009178,True,False,False
PATH000009161,True,False,False
PATH000009129,True,False,False
PATH000009030,True,False,False
PATH000009071,True,False,False
PATH000008888,True,False,False
PATH000009012,True,False,False
PATH000009072,True,False,False
PATH000009269,True,False,False
PATH000009176,True,False,False
PATH000009225,True,False,False
PATH000008999,True,False,False
PATH000009268,True,False,False
PATH000009272,True,False,False
PATH000009246,True,False,False
PATH000008933,True,False,False
PATH000009248,True,False,False
PATH000008919,True,False,False
PATH000009144,True,False,False
PATH000008912,True,False,False
PATH000008916,True,False,False
PATH000009002,True,False,False
PATH000009251,True,False,False
PATH000008925,True,False,False
PATH000009236,True,False,False
PATH000008924,True,False,False
PATH000009101,True,False,False
PATH000009073,True,False,False
PATH000008931,True,False,False
PATH000009250,True,False,False
PATH000009134,True,False,False
PATH000008959,True,False,False
PATH000009199,True,False,False
PATH000008940,True,False,False
PATH000008897,True,False,False
PATH000008981,True,False,False
PATH000009059,True,False,False
PATH000009188,True,False,False
PATH000008887,True,False,False
PATH000008942,True,False,False
PATH000009077,True,False,False
PATH000009204,True,False,False
PATH000009153,True,False,False
PATH000009090,True,False,False
PATH000008896,True,False,False
PATH000009027,True,False,False
PATH000009116,True,False,False
PATH000009193,True,False,False
PATH000009097,True,False,False
PATH000009138,True,False,False
PATH000009136,True,False,False
PATH000009243,True,False,False
PATH000009196,True,False,False
PATH000009219,True,False,False
PATH000009024,True,False,False
PATH000008917,True,False,False
PATH000008902,True,False,False
PATH000009156,True,False,False
PATH000008878,True,False,False
PATH000009114,True,False,False
PATH000009084,True,False,False
PATH000009008,True,False,False
PATH000008947,True,False,False
PATH000009096,True,False,False
PATH000008948,True,False,False
PATH000009182,True,False,False
PATH000009230,True,False,False
PATH000008921,True,False,False
PATH000008900,True,False,False
PATH000009259,True,False,False
PATH000009104,True,False,False
PATH000009226,True,False,False
PATH000008950,True,False,False
PATH000009079,True,False,False
PATH000008998,True,False,False
PATH000009223,True,False,False
PATH000008996,True,False,False
PATH000009053,True,False,False
PATH000008954,True,False,False
PATH000009175,True,False,False
PATH000009207,True,False,False
PATH000009113,True,False,False
PATH000009186,True,False,False
PATH000008907,True,False,False
PATH000009111,True,False,False
PATH000008963,True,False,False
PATH000009119,True,False,False
PATH000003121,True,False,False
PATH000003191,True,False,False
PATH000003192,True,False,False
PATH000003136,True,False,False
PATH000002602,True,False,False
PATH000002667,True,False,False
PATH000002995,True,False,False
PATH000002930,True,False,False
PATH000002833,True,False,False
PATH000002996,True,False,False
PATH000002924,True,False,False
PATH000003203,True,False,False
PATH000003247,True,False,False
PATH000002841,True,False,False
PATH000003090,True,False,False
PATH000004686,True,False,False
PATH000003246,True,False,False
PATH000003033,True,False,False
PATH000003102,True,False,False
PATH000002820,True,False,False
PATH000002610,True,False,False
PATH000003012,True,False,False
PATH000002629,True,False,False
PATH000002604,True,False,False
PATH000002970,True,False,False
PATH000002671,True,False,False
PATH000003040,True,False,False
PATH000003093,True,False,False
PATH000002674,True,False,False
PATH000002951,True,False,False
PATH000002582,True,False,False
PATH000002981,True,False,False
PATH000003244,True,False,False
PATH000003166,True,False,False
PATH000003169,True,False,False
PATH000002804,True,False,False
PATH000002621,True,False,False
PATH000003024,True,False,False
PATH000003133,True,False,False
PATH000002716,True,False,False
PATH000002978,True,False,False
PATH000002891,True,False,False
PATH000003230,True,False,False
PATH000002710,True,False,False
PATH000002817,True,False,False
PATH000002834,True,False,False
PATH000002840,True,False,False
PATH000002769,True,False,False
PATH000004636,True,False,False
PATH000004728,True,False,False
PATH000002736,True,False,False
PATH000002857,True,False,False
PATH000002939,True,False,False
PATH000002627,True,False,False
PATH000002731,True,False,False
PATH000002880,True,False,False
PATH000002755,True,False,False
PATH000002673,True,False,False
PATH000002883,True,False,False
PATH000003215,True,False,False
PATH000003248,True,False,False
PATH000002947,True,False,False
PATH000003139,True,False,False
PATH000003046,True,False,False
PATH000002806,True,False,False
PATH000002717,True,False,False
PATH000002865,True,False,False
PATH000002876,True,False,False
PATH000003134,True,False,False
PATH000003194,True,False,False
PATH000003044,True,False,False
PATH000002874,True,False,False
PATH000003028,True,False,False
PATH000002644,True,False,False
PATH000003131,True,False,False
PATH000003098,True,False,False
PATH000002692,True,False,False
PATH000003129,True,False,False
PATH000002763,True,False,False
PATH000003196,True,False,False
PATH000002662,True,False,False
PATH000003210,True,False,False
PATH000003122,True,False,False
PATH000002932,True,False,False
PATH000003013,True,False,False
PATH000002864,True,False,False
PATH000003152,True,False,False
PATH000002921,True,False,False
PATH000002655,True,False,False
PATH000002886,True,False,False
PATH000002983,True,False,False
PATH000003241,True,False,False
PATH000002752,True,False,False
PATH000002729,True,False,False
PATH000003043,True,False,False
PATH000002635,True,False,False
PATH000003003,True,False,False
PATH000002591,True,False,False
PATH000002814,True,False,False
PATH000008677,True,False,False
PATH000002759,True,False,False
PATH000002851,True,False,False
PATH000002961,True,False,False
PATH000003053,True,False,False
PATH000008840,True,False,False
PATH000008457,True,False,False
PATH000008574,True,False,False
PATH000008454,True,False,False
PATH000008612,True,False,False
PATH000008717,True,False,False
PATH000008722,True,False,False
PATH000008688,True,False,False
PATH000008672,True,False,False
PATH000008570,True,False,False
PATH000008765,True,False,False
PATH000008639,True,False,False
PATH000008845,True,False,False
PATH000008727,True,False,False
PATH000008488,True,False,False
PATH000008576,True,False,False
PATH000008772,True,False,False
PATH000008601,True,False,False
PATH000008671,True,False,False
PATH000008593,True,False,False
PATH000008477,True,False,False
PATH000008798,True,False,False
PATH000008624,True,False,False
PATH000008673,True,False,False
PATH000008632,True,False,False
PATH000008703,True,False,False
PATH000008604,True,False,False
PATH000008860,True,False,False
PATH000008497,True,False,False
PATH000008690,True,False,False
PATH000008815,True,False,False
PATH000008582,True,False,False
PATH000008788,True,False,False
PATH000008801,True,False,False
PATH000008844,True,False,False
PATH000009287,True,False,False
PATH000009342,True,False,False
PATH000009289,True,False,False
PATH000009297,True,False,False
PATH000009319,True,False,False
PATH000009336,True,False,False
PATH000009344,True,False,False
PATH000009364,True,False,False
PATH000009288,True,False,False
PATH000009326,True,False,False
PATH000009294,True,False,False
PATH000009295,True,False,False
PATH000009348,True,False,False
PATH000009339,True,False,False
PATH000009305,True,False,False
PATH000009331,True,False,False
PATH000009292,True,False,False
PATH000009301,True,False,False
PATH000009313,True,False,False
PATH000009937,True,False,False
PATH000009965,True,False,False
PATH000009513,True,False,False
PATH000009849,True,False,False
PATH000009645,True,False,False
PATH000009692,True,False,False
PATH000009860,True,False,False
PATH000009658,True,False,False
PATH000009476,True,False,False
PATH000009638,True,False,False
PATH000009662,True,False,False
PATH000009983,True,False,False
PATH000009730,True,False,False
PATH000009785,True,False,False
PATH000009674,True,False,False
